DT,WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
2025-10-01,40,Khammam,Pod,630,2,0.32%
2025-10-01,40,Mangaluru,Sourcing,1918,8,0.42%
2025-10-01,40,Indore,CX,1503,4,0.27%
2025-10-01,40,Warangal,Pod,983,8,0.81%
2025-10-01,40,Vellore,CX,515,1,0.19%
2025-10-01,40,Meerut,WH,177,1,0.57%
2025-10-01,40,Guntur,Pod,1028,9,0.88%
2025-10-01,40,Guwahati,Sourcing,674,1,0.15%
2025-10-01,40,Kochi,Sourcing,9712,16,0.16%
2025-10-01,40,Tirunelveli,Pod,436,2,0.46%
2025-10-01,40,Gurgaon,Pod,8206,87,1.06%
2025-10-01,40,Mumbai,Pod,39599,294,0.74%
2025-10-01,40,Vapi,WH,282,4,1.42%
2025-10-01,40,Ahmedabad,Sourcing,3872,17,0.44%
2025-10-01,40,Hubli,CX,303,1,0.33%
2025-10-01,40,Salem,Sourcing,785,1,0.13%
2025-10-01,40,Kurnool,Pod,521,1,0.19%
2025-10-01,40,Bhubaneswar,,2916,1,0.03%
2025-10-01,40,Kanchipuram,CX,282,1,0.35%
2025-10-01,40,Madurai,WH,1014,1,0.10%
2025-10-01,40,Vadodara,WH,1093,6,0.55%
2025-10-01,40,Thrissur,CX,2222,1,0.05%
2025-10-01,40,Davanagere,Sourcing,132,1,0.76%
2025-10-01,40,Kollam,WH,524,1,0.19%
2025-10-01,40,Patna,Pod,1027,7,0.68%
2025-10-01,40,Central Goa,CX,3902,9,0.23%
2025-10-01,40,Bangalore,CX,68452,165,0.24%
2025-10-01,40,Nellore,CX,674,1,0.15%
2025-10-01,40,Delhi,Pod,11881,90,0.76%
2025-10-01,40,Kolkata,Sourcing,7493,16,0.21%
2025-10-01,40,Jamshedpur,WH,260,1,0.38%
2025-10-01,40,Mangaluru,CX,1918,2,0.10%
2025-10-01,40,Manipal,Pod,737,3,0.41%
2025-10-01,40,Udaipur,WH,348,3,0.86%
2025-10-01,40,Coimbatore,CX,3646,6,0.16%
2025-10-01,40,Erode,Pod,301,2,0.66%
2025-10-01,40,Noida,WH,2078,8,0.39%
2025-10-01,40,Delhi,CX,11881,29,0.24%
2025-10-01,40,Pune,Pod,16311,189,1.16%
2025-10-01,40,Mumbai,WH,39599,317,0.80%
2025-10-01,40,Madurai,Pod,1014,2,0.20%
2025-10-01,40,Jamshedpur,Sourcing,260,1,0.38%
2025-10-01,40,Hyderabad,CX,34238,157,0.46%
2025-10-01,40,Jodhpur,Pod,60,2,3.33%
2025-10-01,40,Mysore,CX,2282,1,0.04%
