WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Kurnool,DP,824,1,0.12%
9,Delhi,CX,27539,76,0.28%
9,Tirupati,WH,1901,2,0.11%
9,Udaipur,Pod,765,7,0.92%
9,Mumbai,Sourcing,59923,52,0.09%
9,Khammam,CX,849,1,0.12%
9,Manipal,Sourcing,1352,1,0.07%
9,Meerut,Sourcing,388,1,0.26%
9,Jabalpur,Pod,522,1,0.19%
9,Amritsar,Sourcing,524,2,0.38%
9,Warangal,DP,1310,3,0.23%
9,Siliguri,CX,339,1,0.30%
9,Coimbatore,Sourcing,5012,4,0.08%
9,Kochi,WH,14867,4,0.03%
9,Ludhiana,WH,1470,1,0.07%
9,Bikaner,CX,159,2,1.26%
9,Ambala,Pod,362,3,0.83%
9,Gurgaon,WH,14302,11,0.08%
9,Varanasi,CX,910,1,0.11%
9,Kochi,Pod,14867,62,0.42%
9,Kanpur,Pod,834,3,0.36%
9,Manipal,Pod,1352,8,0.59%
9,Warangal,CX,1310,4,0.31%
9,Delhi,WH,27539,11,0.04%
9,Kozhikode,Pod,2229,6,0.27%
9,Thiruvananthapuram,DP,7074,4,0.06%
9,Patiala,CX,624,3,0.48%
9,Kolhapur,Pod,319,2,0.63%
9,Pune,DP,27453,13,0.05%
9,Anantapur,DP,597,2,0.34%
9,Kolhapur,DP,319,1,0.31%
9,Faridabad,Pod,2610,22,0.84%
9,Kanpur,Sourcing,834,3,0.36%
9,Vapi,Pod,611,4,0.65%
9,Kochi,DP,14867,4,0.03%
9,Aligarh,Sourcing,178,1,0.56%
9,Nizamabad,CX,80,1,1.25%
9,Ludhiana,CX,1470,4,0.27%
9,Jamshedpur,Pod,775,2,0.26%
9,Kurukshetra,Pod,166,3,1.81%
9,Trichy,Sourcing,1377,1,0.07%
9,Vizag,DP,3011,5,0.17%
9,Kurnool,Pod,824,10,1.21%
9,Bikaner,Pod,159,6,3.77%
9,Amravati,CX,239,1,0.42%
9,Dibrugarh,CX,401,6,1.50%
9,Bangalore,Pod,94485,619,0.66%
9,Rajahmundry,Pod,559,1,0.18%
9,Shivamogga,DP,582,1,0.17%
9,Chennai,Sourcing,44609,28,0.06%
9,Kota,CX,982,6,0.61%
9,Tirupati,DP,1901,3,0.16%
9,Shivamogga,Sourcing,582,2,0.34%
9,Silchar,DP,479,1,0.21%
9,Ranchi,CX,1135,1,0.09%
9,Pune,WH,27453,12,0.04%
9,Gorakhpur,CX,211,2,0.95%
9,Chandigarh,CX,7031,25,0.36%
9,Surat,Pod,1579,10,0.63%
9,Gwalior,CX,684,2,0.29%
9,Surat,Sourcing,1579,4,0.25%
9,Vizianagaram,Sourcing,124,1,0.81%
9,Vizag,Pod,3011,13,0.43%
9,Varanasi,Sourcing,910,3,0.33%
9,Karimnagar,Pod,476,3,0.63%
9,Mangaluru,DP,3249,2,0.06%
9,Allahabad,Pod,145,1,0.69%
9,Ujjain,CX,413,1,0.24%
9,Thiruvananthapuram,Sourcing,7074,4,0.06%
9,Guwahati,Pod,1053,16,1.52%
9,Ahmedabad,Sourcing,6909,12,0.17%
9,Aligarh,Pod,178,3,1.69%
9,Vellore,Pod,1112,2,0.18%
9,Hyderabad,Sourcing,56962,21,0.04%
9,Rajkot,Pod,545,5,0.92%
9,Trichy,WH,1377,1,0.07%
9,Mangaluru,Sourcing,3249,4,0.12%
9,Lonavla,Pod,117,2,1.71%
9,Karur,CX,470,1,0.21%
9,Karnal,Pod,174,1,0.57%
9,Noida 1,CX,9977,23,0.23%
9,Tirupati,CX,1901,8,0.42%
9,Amravati,Pod,239,3,1.26%
9,Mysore,Sourcing,3476,4,0.12%
9,Udaipur,DP,765,1,0.13%
9,Jodhpur,Pod,297,3,1.01%
9,Noida 1,Sourcing,9977,35,0.35%
9,Mumbai,CX,59923,173,0.29%
9,Ahmedabad,DP,6909,2,0.03%
9,Thiruvallur,Pod,463,3,0.65%
9,Palakkad,CX,526,1,0.19%
9,Vadodara,Pod,1429,13,0.91%
9,Kolkata,Pod,17654,74,0.42%
9,Mangaluru,Pod,3249,11,0.34%
9,Rudrapur,CX,211,1,0.47%
9,Udaipur,CX,765,3,0.39%
9,Ahmedabad,CX,6909,33,0.48%
9,Nashik,Pod,1146,8,0.70%
9,Salem,Sourcing,1282,3,0.23%
9,Thrissur,DP,3470,2,0.06%
9,Guntur,Sourcing,1648,6,0.36%
9,Kurnool,CX,824,3,0.36%
9,Vadodara,DP,1429,1,0.07%
9,Hubli,Pod,512,4,0.78%
9,Vijayawada,DP,2956,3,0.10%
9,Chandigarh,DP,7031,16,0.23%
9,Noida 1,DP,9977,27,0.27%
9,Faridabad,CX,2610,10,0.38%
9,Bangalore,Sourcing,94485,231,0.24%
9,Ranchi,Pod,1135,4,0.35%
9,Manipal,DP,1352,2,0.15%
9,Ludhiana,Pod,1470,15,1.02%
9,Rohtak,Pod,430,6,1.40%
9,Kota,Sourcing,982,4,0.41%
9,Mysore,WH,3476,3,0.09%
9,Bhubaneswar,Sourcing,4266,3,0.07%
9,Jamshedpur,WH,775,1,0.13%
9,Cuttack,CX,466,1,0.21%
9,Cuttack,WH,466,1,0.21%
9,Bhopal,CX,1253,5,0.40%
9,Surat,WH,1579,2,0.13%
9,Anantapur,Pod,597,2,0.34%
9,Karimnagar,WH,476,1,0.21%
9,Bhopal,Pod,1253,9,0.72%
9,Chennai,Pod,44609,338,0.76%
9,Kota,Pod,982,9,0.92%
9,Jaipur,Pod,3789,38,1.00%
9,Bathinda,Pod,196,2,1.02%
9,Faridabad,DP,2610,7,0.27%
9,Dehradun,Pod,2013,7,0.35%
9,Patna,WH,2851,4,0.14%
9,Kolhapur,CX,319,2,0.63%
9,Nagpur,Pod,1131,3,0.27%
9,Kakinada,WH,603,1,0.17%
