DT,WEEK,MT,CITY,STORE_ID,SPOC,ORDERS_TOTAL,IGCC,inc_%
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Chennai,1404774,Sourcing,207,1,0.0048
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Rajkot,1404651,Pod,289,1,0.0035
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Chennai,1230880,Pod,638,1,0.0016
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Chennai,1230880,CX,638,1,0.0016
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Raipur,1400986,Pod,331,1,0.003
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Raipur,1400986,WH,331,1,0.003
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Raipur,1400986,Pod,331,2,0.006
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Raipur,1400986,Pod,331,1,0.003
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Raipur,1400986,Pod,331,1,0.003
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,CX,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Sourcing,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Sourcing,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Pod,765,2,0.0026
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,CX,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Pod,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Pod,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Pod,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Pod,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Pod,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,CX,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1404584,Sourcing,765,1,0.0013
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,WH,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,CX,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,Pod,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Vijayawada,1404636,CX,511,1,0.002
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Indore,1401475,Pod,285,1,0.0035
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Indore,1401475,Pod,285,1,0.0035
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Indore,1401475,Pod,285,1,0.0035
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,3,0.0033
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Sourcing,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,CX,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,2,0.0022
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,Pod,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1394450,CX,905,1,0.0011
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,Pod,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,Pod,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,CX,535,2,0.0037
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,Pod,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,CX,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,Pod,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,CX,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,Pod,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Delhi,1403206,CX,535,1,0.0019
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Amravati,1402771,CX,250,1,0.004
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Amravati,1402771,Pod,250,1,0.004
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Amravati,1402771,Pod,250,1,0.004
Sun Jul 19 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Amravati,1402771,CX,250,1,0.004
