Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 03 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 02 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 01 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 31 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 30 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 29 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0,0,0.002200151427426179,0.002115942302787565,0.0018987742357433701,0.0015241140420996536,0.0025974813527116897,Tier-1
Bangalore,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,0,0,,,,Bangalore,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
Chennai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Damage/Bruises,0,0,0.004133077985124483,0.004241330776569717,0.003997974640815207,0.0038369304556354917,0.006094479594105638,Tier-1
Delhi,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Rotten/ Fungal,0,0,0.0015677192357368725,0.0014169256491881016,0.0014135319310533978,0.0013855582200905942,0,Tier-1
Hyderabad,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Internal Rotten,0,0,0.0011045294615418875,0.0011335405193504812,0.0011920082702166711,0.0012043698374633626,0.0015261466313597866,Tier-1
Kolkata,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Taste / water content,0,0,0.00046318977419498506,0.0007368013375778129,0.0006856684740184393,0.0005755395683453237,0.00033352873400578116,Tier-1
Mumbai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0,0,0.0002939473567006636,0.0002928313008322077,0.000443047321673453,0.0002025046629363176,0,Tier-1
Pune,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Overripe,0,0,0.00019596490446710906,0.000302277471826795,0.00016877993206607735,0.00019184652278177457,0.00023245942067069597,Tier-1
Noida 1,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Raw,0,0,0.000872934574444395,0.0006517857986265268,0.000759509694297348,0.0008526512123634425,0.0011521901720199714,Tier-1
Gurgaon,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,WH,Shrivelled / Dry,0,0,0.0015766267313944685,0.0009257247574695597,0.0007806071858056077,0.000660804689581668,0.0004345980473408664,Tier-1
,,,,,,,,,,,,,,Bangalore,WH,Underweight (packing issue),0,0,0.0007036921569500735,0.0006706781406157014,0.0006012785079854005,0.0005435651478816946,0.0003234218026722726,Tier-1
,,,,,,,,,,,,,,Chennai,CX,Customer perception / Wrong claim,0,0,0.0032180545397555113,0.0027851809167086846,0.003418669589498682,0.003299674994417843,0.002935980045728539,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,Damage in transit,0,0,0,0,0.00002609671442365406,0,0.000025982124298482642,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Damage/Bruises,0,0,0.007940654059136977,0.008547624192657687,0.008142174900180068,0.00875778400774059,0.008989815007274995,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Rotten/ Fungal,0,0,0.000020896458050360463,0,0,0,0.00012991062149241323,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Internal Rotten,0,0,0.0007104795737122557,0.001224519196139163,0.0011743521490644327,0.0009427642841193837,0.0008574101018499272,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Taste / water content,0,0,0.0002925504127050465,0.0004321832456961752,0.0005219342884730812,0.0002977150370903317,0.0001818748700893785,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Incorrect size (sourcing issue),0,0,0.000020896458050360463,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Overripe,0,0,0.00020896458050360465,0.00016807126221517923,0.00007829014327096219,0.00017366710496936015,0.0002338391186863438,Tier-1
