Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 10 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 07 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 06 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0,0.0018905533978587428,0.0018965943761853714,0.002098904960443714,0.0015698899089861293,0.001465334673882816,0.0013219786638792388,Tier-1
Bangalore,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,0,0,,,,Bangalore,Pod,Damage in transit,0,0,0,0.000009497307513319974,0,0,0,Tier-1
Chennai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Damage/Bruises,0,0.0036167108480775947,0.003958110002473819,0.003912890695487829,0.003477604228766742,0.003444071277301217,0.003002633709431139,Tier-1
Delhi,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Rotten/ Fungal,0,0.0019933008651336743,0.0023398202358373876,0.0019849372702838747,0.0015996979452327013,0.0011872419620510407,0.0014756971131675224,Tier-1
Hyderabad,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Internal Rotten,0,0.0008425292316544397,0.0010204502350127814,0.0009212388287920375,0.0007551369182464926,0.0007594070207713864,0.0007071048667261045,Tier-1
Kolkata,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Taste / water content,0,0.0004109898690997267,0.00038138039086336274,0.0004558707606393587,0.00041731250745200905,0.00032087620595974074,0.0004918990377225075,Tier-1
Mumbai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0,0.00026714341491482235,0.0002679970314174981,0.00034190307047951904,0.0002484003020547673,0.00024600509123580124,0.00026644531209969155,Tier-1
Pune,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Overripe,0,0.00022604442800484967,0.00020615156262884473,0.00022793538031967936,0.00017884821747943245,0.00010695873531991358,0.00022545372562281593,Tier-1
Noida 1,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Raw,0,0.0006164848036495901,0.00046384101591490063,0.000721795371012318,0.00100353722030126,0.00045992256187562836,0.0008095838329182935,Tier-1
Gurgaon,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,WH,Shrivelled / Dry,0,0.0011815958736617143,0.0014224457821390287,0.0007028007559856781,0.0006160327490958229,0.0006203606648554987,0.0005226427275801642,Tier-1
,,,,,,,,,,,,,,Bangalore,WH,Underweight (packing issue),0,0.0004418141092822062,0.0005978395316236497,0.0005603411432858785,0.0005365446524382974,0.00047061843540761975,0.0006046259005339154,Tier-1
,,,,,,,,,,,,,,Chennai,CX,Customer perception / Wrong claim,0,0.002744888227220917,0.00250272034820457,0.00319702762836714,0.0023008135866600253,0.0035844129243688874,0.0032170196778283943,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Damage/Bruises,0,0.008932517620786713,0.004923830250272035,0.008208584451212926,0.006878721032282549,0.006989605202519331,0.00894660216972714,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Rotten/ Fungal,0,0.000023261764637465398,0.00250272034820457,0,0,0,0,Tier-1
