Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 14 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0.0023762605772574474,0.0021202073506748236,0.0020428052025938,0.001920971861518319,0.0024963842054167573,0.0034396904278614924,0.0018905533978587428,Tier-1
Bangalore,0.0023762605772574474,0.00781461303659055,0.0025791120899501564,0.002656388856690236,0.015426374560488388,,0.0030852749120976776,0.506574827802129,103524,310572,,,,Bangalore,Pod,Damage in transit,0,0,0,0.000021463372754394626,0.00002971885958829473,0,0,Tier-1
Chennai,0.0031300565001724182,0.008010822568237885,0.002360805326401231,0.0027586938645587414,0.016260378259370274,,0.003252075651874055,0.49265905383360525,,,,,,Bangalore,Pod,External Damage/Bruises,0.005361075692593022,0.005099705786204642,0.004460437047865362,0.0030048721856152476,0.003843639173419452,0.007019368256856883,0.0036167108480775947,Tier-1
Delhi,0.0026526162790697673,0.008430232558139536,0.00436046511627907,0.001380813953488372,0.016824127906976745,,0.003364825581395349,0.5010799136069115,,,,,,Bangalore,Pod,External Rotten/ Fungal,0.0022023878520922684,0.002484472049689441,0.0023332958506690656,0.0014595093472988345,0.001921819586709726,0.00011998920097191253,0.0019933008651336743,Tier-1
Hyderabad,0.003587461920795254,0.007435465768799102,0.0018438351771685106,0.002725669392336059,0.015592432259098926,,0.0031184864518197853,0.4768637532133676,,,,,,Bangalore,Sourcing,Internal Rotten,0.0010915343302036243,0.0011394946994816232,0.00097454927096218,0.0008263398510441931,0.0008123154954133893,0.0010499055085042347,0.0008425292316544397,Tier-1
Kolkata,0.0027994157740993185,0.008763388510223954,0.002677702044790652,0.0013997078870496592,0.015640214216163583,,0.003128042843232717,0.5603112840466926,,,,,,Bangalore,Sourcing,Taste / water content,0.0005119585796530274,0.00042030542193994305,0.0006184639604183065,0.00035414565044751133,0.0003368137420006736,0.0002599766021058105,0.0004109898690997267,Tier-1
Mumbai,0.0024573378839590444,0.007059970745977572,0.0016382252559726963,0.0008971233544612385,0.01205265724037055,,0.00241053144807411,0.5857605177993528,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0.0003380858544878482,0.0005417269882781487,0.0002998613141422092,0.0002468287866755382,0.0002674697362946526,0.00012998830105290525,0.00026714341491482235,Tier-1
Pune,0.002214022140221402,0.0076260762607626075,0.0016400164001640015,0.0012710127101271012,0.012751127511275114,,0.002550225502255023,0.5980707395498391,,,,,,Bangalore,DP,Overripe,0.0002511494919052587,0.00022416289170130294,0.00015930132313804867,0.0002790238458071301,0.00018821944405919997,0.0001999820016198542,0.00022604442800484967,Tier-1
Noida 1,0.001511783014673188,0.009159626500666963,0.005691418408181414,0.003468208092485549,0.016362827923521568,,0.003272565584704314,0.5597826086956521,,,,,,Bangalore,DP,Raw,0.0006375333256056566,0.0007285293980292346,0.0005153866336819221,0.0005795110643686549,0.0008618469280605472,0.0004999550040496356,0.0006164848036495901,Tier-1
Gurgaon,0.0034451870736580997,0.008544063942672087,0.004272031971336044,0.0017225935368290499,0.01798387652449528,,0.003596775304899056,0.47509578544061304,,,,,,Bangalore,WH,Shrivelled / Dry,0.0018256636142343805,0.0016999019287348806,0.0017991678848532553,0.0006439011826318388,0.0011590355239434946,0.0004699577038066574,0.0011815958736617143,Tier-1
