Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 29 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 28 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 27 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 26 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 25 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0,0.002222129921913939,0.00208381804019948,0.002202364644144239,0.00320751302109518,0.002325358137153463,0.0032019831637659455,Tier-1
Bangalore,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,0,0,,,,Bangalore,Pod,Damage in transit,0,0,0.000010115621554366407,0,0,0,0,Tier-1
Chennai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Damage/Bruises,0,0.0035927894999169298,0.003469658193147678,0.003825159645092626,0.005258712570635671,0.005536059051296547,0.008707328409853846,Tier-1
Delhi,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Rotten/ Fungal,0,0.002035221797640804,0.0022456679850693427,0.002160214124639086,0.00226235244434613,0.0019520208215554299,0,Tier-1
Hyderabad,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Internal Rotten,0,0.0010487622528659246,0.0009710996692191752,0.0011380640266391282,0.0009250507772437509,0.0011306787272397573,0.0011568455301347931,Tier-1
Kolkata,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Taste / water content,0,0.0005399568034557236,0.0005361279423814196,0.0002423654871546292,0.000583184185653669,0.0004053376569350073,0.00024789547074316996,Tier-1
Mumbai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0,0.00032189732513706595,0.00028323740352225943,0.0001686020780206116,0.0002714822933215356,0.00027733629158711024,0.00014460569126684914,Tier-1
Pune,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Overripe,0,0.0004361189566373152,0.0003540467544028243,0.00031612889628864676,0.0003318116918374324,0.00038400409604369114,0.0001755926251097454,Tier-1
Noida 1,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Raw,0,0.0005503405881375643,0.0004855498346095876,0.00035827941579379965,0.0005530194863957207,0.00035200375470671686,0.0006610545886484532,Tier-1
Gurgaon,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,WH,Shrivelled / Dry,0,0.0014329622860940355,0.0011734121003065033,0.0013277413644123164,0.001528344762402719,0.0015040160428377903,0.0006507256107008212,Tier-1
,,,,,,,,,,,,,,Bangalore,WH,Underweight (packing issue),0,0.0007476324970925403,0.0006170529148163509,0.0005690320133195641,0.0005731292859010196,0.0006506736071851434,0.00018592160305737747,Tier-1
,,,,,,,,,,,,,,Chennai,CX,Customer perception / Wrong claim,0,0.0035168155886107274,0.0026912058338397432,0.0032008680320086804,0.003652208956727621,0.0036657078125397753,0.00463951270884923,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Damage/Bruises,0,0.009300023445437258,0.0038197760222241513,0.00509968805099688,0.009143116215807767,0.007662347580378281,0.010502945948253779,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Rotten/ Fungal,0,0.000026050485841560945,0.004022339902190583,0.00347212803472128,0,0,0,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Internal Rotten,0,0.0019537864381170707,0.0013021963712127789,0.0012206700122067001,0.0013853206387587527,0.0011200773871649313,0.00116699399425042,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Taste / water content,0,0.0004168077734649751,0.0009838817026940996,0.0007052760070527601,0.0002518764797743187,0.00022910673828373596,0.00019924287706714485,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Incorrect size (sourcing issue),0,0.0001302524292078047,0.00020256387996643227,0.00048826800488268007,0.0002518764797743187,0.00010182521701499377,0.0002561694133720434,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Overripe,0,0.0002605048584156094,0.00020256387996643227,0.00002712600027126,0.00010075059190972747,0.00010182521701499377,0.000028463268152449266,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Raw,0,0.0005470602026727799,0.0008681309141418525,0.0010036620100366202,0.0009319429751649791,0.0007127765191049563,0.0009392878490308257,Tier-1
,,,,,,,,,,,,,,Chennai,WH,Shrivelled / Dry,0,0.0010680699195039988,0.001417947159765026,0.0009765360097653601,0.0004281900156163417,0.0008400580403736985,0.0010531409216406227,Tier-1
,,,,,,,,,,,,,,Chennai,WH,Underweight (packing issue),0,0.0003647068017818532,0.0007234424284515438,0.00086803200868032,0.0003022517757291824,0.00017819412977623908,0.00034155921782939115,Tier-1
,,,,,,,,,,,,,,Delhi,CX,Customer perception / Wrong claim,0,0.003127299484915379,0.00260876882942018,0.0025742498174972143,0.0030630803101368816,0.0018813634351482957,0.0031551665852834017,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Damage/Bruises,0,0.009970566593083149,0.007742152655053438,0.008644868790102586,0.008583006285696053,0.00398406374501992,0.010254291402171056,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Rotten/ Fungal,0,0.00014716703458425313,0.0003786922494319616,0.0003073731125369808,0.00022334960594748093,0.0023609266637155085,0.0002629305487736168,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Internal Rotten,0,0.0009933774834437086,0.0005469999158461668,0.0007300111422753295,0.001052933856609553,0.0012911317692194187,0.0012770912369004244,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Taste / water content,0,0.0012877115526122149,0.0012202305815029874,0.0015752872017520268,0.0014358188953766632,0.0011066843736166445,0.0011644067159974458,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.0002213368747233289,0,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Overripe,0,0.0001839587932303164,0.00029453841622485905,0.00019210819533561303,0.0002871637790753326,0.00025822635384388374,0.000413176576644255,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Raw,0,0.0012509197939661516,0.0004628460826390642,0.001075805893879433,0.0012124692894291823,0.001217352810978309,0.00247905945986553,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0,0.000919793966151582,0.0010939998316923335,0.0008836976985438199,0.0005424204715867394,0.0008853474988933156,0.000976599181159148,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0,0.0007726269315673289,0.0005049229992426155,0.00046105966880547123,0.0004786062984588877,0.0007009001032905416,0.0003756150696765954,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0,0.003936101166174654,0.0023483198838649077,0.0036236629556865314,0.0032211954661673812,0.003946708532304137,0.0033738753748750417,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0,0.006532252999183468,0.005892148072242859,0.007269155206286837,0.006784642950615047,0.007413706635267438,0.008997000999666778,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0,0,0.00032022543870885103,0.0002619515389652914,0,0.000021805019515492465,0.00012495834721759413,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0,0.001381822749827272,0.0004910123393535716,0.0007421960270683256,0.0007851663948782992,0.0010902509757746233,0.0006664445184938354,Tier-1
