Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0,0.005955891514723595,0.006861130714341724,0.0031211717709720374,0.0028930485626116613,0.0027999116873733015,0.0027880037304275265,Tier-1
Bangalore,0.005955891514723595,0.00924533787431989,0.002516924866054741,0.0053328903102546,0.023051044565352827,,0.0046102089130705655,0.40108108108108104,120385,361155,,,,Bangalore,Pod,Damage in transit,0,0,0,0,0,0.00001003552576119463,0,Tier-1
Chennai,0.006951722957797694,0.009946311308849008,0.0021176017625291438,0.006887553207418023,0.02590318923659387,,0.005180637847318774,0.38398018166804293,,,,,,Bangalore,Pod,External Damage/Bruises,0,0.0087635502761972,0.010370108993962205,0.005656458055925433,0.006232743219100211,0.0061116351885675295,0.005723261179011437,Tier-1
Delhi,0.0041763816649158314,0.006610469138333034,0.003202746675548951,0.0029209049681006433,0.01691050244689846,,0.003382100489379692,0.3909090909090909,,,,,,Bangalore,Pod,External Rotten/ Fungal,0,0.000041533413631266354,0.000058809691837214774,0.00006391478029294274,0.000010151047588111093,0.00005017762880597314,0.000009816914543758897,Tier-1
Hyderabad,0.006807679186179946,0.0069627516049995345,0.001845361783953106,0.006900722637471699,0.022516515212604286,,0.004503303042520858,0.30922865013774103,,,,,,Bangalore,Sourcing,Internal Rotten,0,0.0013706026498317896,0.0032149298204344075,0.0013315579227696406,0.0014008445671593308,0.0018565722658210064,0.0016492416433514945,Tier-1
Kolkata,0.0027440054035798717,0.005952380952380952,0.0021107733873691322,0.0032505910165484633,0.01405775075987842,,0.002811550151975684,0.4234234234234234,,,,,,Bangalore,Sourcing,Taste / water content,0,0.0003405739917763841,0.0005488904571473379,0.00037283621837549936,0.00025377618970277735,0.00028099472131344963,0.0003337750944878025,Tier-1
Mumbai,0.005498333838230839,0.006846410178733717,0.0019388064222962739,0.004498636776734323,0.01878218721599515,,0.0037564374431990305,0.3645161290322581,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0,0.00019105370270382522,0.00029404845918607386,0.00012782956058588548,0.00008120838070488874,0.0002107460409850872,0.00018652137633141903,Tier-1
Pune,0.007698084866691701,0.006915759168857179,0.002221804981850044,0.005288521717361372,0.022124170734760296,,0.00442483414695206,0.31258840169731256,,,,,,Bangalore,DP,Overripe,0,0.00044025418449142334,0.0011369873755194856,0.00039414114513981356,0.00037558876076011045,0.00033117235011942273,0.0003337750944878025,Tier-1
Noida 1,0.004317393864067509,0.007195656440112514,0.004317393864067509,0.0030745077516844375,0.01583044416824753,,0.0031660888336495063,0.4545454545454546,,,,,,Bangalore,DP,Raw,0,0.000614694521742742,0.0012350035285815103,0.0012463382157123835,0.0006090628552866656,0.0006924512775224294,0.0007264516762381584,Tier-1
Gurgaon,0.003596772625644017,0.007728200641586468,0.003596772625644017,0.003596772625644017,0.018518518518518517,,0.003703703703703704,0.4173228346456693,,,,,,Bangalore,WH,Shrivelled / Dry,0,0.005158449973003281,0.004371520426566298,0.0015659121171770973,0.001969303232093552,0.0016458262248359192,0.001433269523388799,Tier-1
,,,,,,,,,,,,,,Bangalore,WH,Underweight (packing issue),0,0.00017444033725131869,0.0006273033795969576,0.0003515312916111851,0.0002740782848789995,0.0002609236697910604,0.00046139498355666814,Tier-1
,,,,,,,,,,,,,,Chennai,CX,Customer perception / Wrong claim,0,0.006951722957797694,0.009876029836005926,0.0036284878487848784,0.003971593897948448,0.00381405826037987,0.0030426473546570107,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
