WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Basic Reason for IGCC,SPOC,IGCC,ORDERS,inc_%
9,Chennai,20422,Daily Apple,Customer perception / Wrong claim,CX,2,1256,0.0016
9,Chennai,20422,Daily Apple,External Damage/Bruises,Pod,3,1256,0.0024
9,Bangalore,45306,Daily Pomegranate,Shrivelled / Dry,WH,1,1695,0.0006
9,Bangalore,45306,Daily Pomegranate,Incorrect size (sourcing issue),DP,1,1695,0.0006
9,Bangalore,45306,Daily Pomegranate,Raw,DP,4,1695,0.0024
9,Bangalore,45306,Daily Pomegranate,External Rotten/ Fungal,Pod,2,1695,0.0012
9,Bangalore,45306,Daily Pomegranate,Internal Rotten,Sourcing,2,1695,0.0012
9,Bangalore,45306,Daily Pomegranate,Customer perception / Wrong claim,CX,4,1695,0.0024
9,Bangalore,45306,Daily Pomegranate,External Damage/Bruises,Pod,5,1695,0.003
9,Hyderabad,3797,Red & Yellow Bell Peppers,External Damage/Bruises,Pod,3,501,0.006
9,Hyderabad,3797,Red & Yellow Bell Peppers,Customer perception / Wrong claim,CX,1,501,0.002
9,Warangal,12669,Mulberry Mahabaleshwar,External Damage/Bruises,Pod,1,12,0.0833
9,Warangal,12669,Mulberry Mahabaleshwar,External Rotten/ Fungal,Pod,1,12,0.0833
9,Ahmedabad,8689,Hybrid Tomato,External Rotten/ Fungal,Pod,1,335,0.003
9,Ahmedabad,8689,Hybrid Tomato,Customer perception / Wrong claim,CX,1,335,0.003
9,Ahmedabad,8689,Hybrid Tomato,External Damage/Bruises,Pod,2,335,0.006
9,Vizag,2613,Strawberry Mahabaleshwar,External Rotten/ Fungal,Pod,2,66,0.0303
9,Vizag,2613,Strawberry Mahabaleshwar,Customer perception / Wrong claim,CX,1,66,0.0152
9,Vizag,2613,Strawberry Mahabaleshwar,External Damage/Bruises,Pod,3,66,0.0455
9,Mumbai,1013,Beetroot,Shrivelled / Dry,WH,1,1663,0.0006
9,Salem,8689,Hybrid Tomato,External Damage/Bruises,Pod,1,41,0.0244
9,Hyderabad,14877,Small Cauliflower,Customer perception / Wrong claim,CX,1,770,0.0013
9,Hyderabad,1013,Beetroot,External Damage/Bruises,Pod,2,1724,0.0012
9,Hyderabad,1013,Beetroot,Customer perception / Wrong claim,CX,1,1724,0.0006
9,Pune,3056,Red Carrot,Customer perception / Wrong claim,CX,2,1363,0.0015
9,Pune,3056,Red Carrot,Shrivelled / Dry,WH,2,1363,0.0015
9,Pune,3056,Red Carrot,External Damage/Bruises,Pod,5,1363,0.0037
9,Delhi,11557,Pluckk Pineapple Cuts,Customer perception / Wrong claim,CX,1,22,0.0455
9,Delhi,3508,Kiran Watermelon,External Damage/Bruises,Pod,1,45,0.0222
9,Chandigarh,1115,Chikoo - Sapota,Customer perception / Wrong claim,CX,1,17,0.0588
9,Ahmedabad,11565,Baby Banana,Raw,DP,1,415,0.0024
9,Ahmedabad,11565,Baby Banana,Customer perception / Wrong claim,CX,1,415,0.0024
9,Ahmedabad,11565,Baby Banana,External Damage/Bruises,Pod,2,415,0.0048
9,Faridabad,2613,Strawberry Mahabaleshwar,External Rotten/ Fungal,Pod,1,18,0.0556
9,Mumbai,2609,Cowpea Beans,External Damage/Bruises,Pod,2,150,0.0133
9,Mumbai,18885,Imported Jumbo Blueberry (From Peru),External Damage/Bruises,Pod,2,79,0.0253
9,Noida 1,4325,Crunchy Shimla Apple,Internal Rotten,Sourcing,1,33,0.0303
9,Sri Ganganagar,90321,Nagpur orange,External Damage/Bruises,Pod,1,32,0.0313
9,Bangalore,96341,Pluckk Cold-Pressed Sugarcane Juice | No Added Sugar | No Preservatives | No Concentrates,External Damage/Bruises,Pod,1,12,0.0833
9,Nellore,369634,Yellow Bell Pepper,External Damage/Bruises,Pod,1,3,0.3333
9,Kanpur,1108,Potato,External Damage/Bruises,Pod,1,13,0.0769
9,Manipal,1131,Kiran Watermelon,Customer perception / Wrong claim,CX,1,37,0.027
9,Manipal,1131,Kiran Watermelon,Raw,DP,1,37,0.027
9,Ranchi,1007,Yelakki Banana,External Damage/Bruises,Pod,1,39,0.0256
9,Central Goa,2613,Strawberry Mahabaleshwar,External Rotten/ Fungal,Pod,1,130,0.0077
9,Delhi,255541,Unripe Imported Avocado,Internal Rotten,Sourcing,1,4,0.25
9,Kochi,11565,Baby Banana,External Damage/Bruises,Pod,1,138,0.0072
9,Warangal,15352,Local Beans (Averekai),External Damage/Bruises,Pod,1,19,0.0526
9,Warangal,15352,Local Beans (Averekai),Customer perception / Wrong claim,CX,1,19,0.0526
9,Thrissur,1005,Robusta Banana,External Damage/Bruises,Pod,1,212,0.0047
9,Bhopal,1096,Muskmelon,Customer perception / Wrong claim,CX,1,8,0.125
9,Bangalore,4599,Lady's Finger,Customer perception / Wrong claim,CX,2,3344,0.0006
9,Bangalore,4599,Lady's Finger,Overripe,DP,2,3344,0.0006
9,Bangalore,4599,Lady's Finger,External Rotten/ Fungal,Pod,1,3344,0.0003
9,Bangalore,4599,Lady's Finger,External Damage/Bruises,Pod,2,3344,0.0006
9,Mumbai,7433,Imported Avocado - Tanzania,External Damage/Bruises,Pod,1,668,0.0015
9,Mumbai,7433,Imported Avocado - Tanzania,Underweight (packing issue),WH,1,668,0.0015
9,Mumbai,7433,Imported Avocado - Tanzania,Overripe,DP,1,668,0.0015
9,Mumbai,7433,Imported Avocado - Tanzania,Customer perception / Wrong claim,CX,2,668,0.003
9,Mumbai,7433,Imported Avocado - Tanzania,Raw,DP,10,668,0.015
9,Warangal,1026,Cabbage,External Damage/Bruises,Pod,2,9,0.2222
9,Khammam,1013,Beetroot,External Damage/Bruises,Pod,1,31,0.0323
9,Guwahati,6494,Black & Green Grapes Mix Pack (Seedless),External Damage/Bruises,Pod,1,5,0.2
9,Warangal,1005,Robusta Banana,External Damage/Bruises,Pod,2,58,0.0345
9,Warangal,1005,Robusta Banana,Internal Rotten,Sourcing,2,58,0.0345
9,Bangalore,38914,Baby Bottle Gourd,Internal Rotten,Sourcing,1,1550,0.0006
9,Bangalore,38914,Baby Bottle Gourd,External Damage/Bruises,Pod,5,1550,0.0032
9,Ahmedabad,3056,Red Carrot,Shrivelled / Dry,WH,1,291,0.0034
9,Ahmedabad,3056,Red Carrot,External Damage/Bruises,Pod,1,291,0.0034
9,Ahmedabad,3056,Red Carrot,Customer perception / Wrong claim,CX,3,291,0.0103
9,Bangalore,11559,Baby Green Kiwi,Customer perception / Wrong claim,CX,2,254,0.0079
9,Udaipur,1116,Semi ripe Chikoo,External Damage/Bruises,Pod,2,12,0.1667
9,Chennai,15024,Kateri Brinjal,External Damage/Bruises,Pod,5,1329,0.0038
9,Chennai,15024,Kateri Brinjal,Customer perception / Wrong claim,CX,2,1329,0.0015
9,Chennai,15024,Kateri Brinjal,Internal Rotten,Sourcing,1,1329,0.0008
9,Tirupati,1113,Ridge Gourd,Customer perception / Wrong claim,CX,1,15,0.0667
9,Kota,1037,Cauliflower,External Damage/Bruises,Pod,1,21,0.0476
9,Bangalore,1013,Beetroot,Shrivelled / Dry,WH,1,2903,0.0003
9,Bangalore,1013,Beetroot,Customer perception / Wrong claim,CX,3,2903,0.001
9,Bangalore,1013,Beetroot,External Damage/Bruises,Pod,3,2903,0.001
9,Mumbai,11581,Papaya,Raw,DP,3,101,0.0297
9,Patna,3060,Premium Kinnaur Apple,External Damage/Bruises,Pod,1,6,0.1667
9,Bangalore,3941,Haricot Beans,Customer perception / Wrong claim,CX,2,3303,0.0006
9,Bangalore,3941,Haricot Beans,Shrivelled / Dry,WH,1,3303,0.0003
9,Bangalore,3941,Haricot Beans,External Damage/Bruises,Pod,1,3303,0.0003
9,Bangalore,3941,Haricot Beans,External Rotten/ Fungal,Pod,2,3303,0.0006
9,Hyderabad,16377,Sweet Lime (Mosambi),Customer perception / Wrong claim,CX,1,75,0.0133
9,Hyderabad,16377,Sweet Lime (Mosambi),External Damage/Bruises,Pod,1,75,0.0133
