WEEK,CITY,Basic Reason for IGCC,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Mysore,Shrivelled / Dry,WH,3562,1,0.0003
9,Trichy,Shrivelled / Dry,WH,1383,1,0.0007
9,Udaipur,Raw,Sourcing,783,1,0.0013
9,Kota,Raw,Sourcing,985,1,0.001
9,Kota,Internal Rotten,Sourcing,985,3,0.003
9,Gorakhpur,External Damage/Bruises,Pod,214,2,0.0093
9,Noida 1,Incorrect size (sourcing issue),Sourcing,10877,3,0.0003
9,Mumbai,External Rotten/ Fungal,Pod,66888,2,0
9,Ujjain,Raw,Sourcing,420,1,0.0024
9,Bikaner,Customer perception / Wrong claim,CX,159,2,0.0126
9,Hyderabad,External Rotten/ Fungal,Pod,62077,1,0
9,Nagpur,Internal Rotten,Sourcing,1184,1,0.0008
9,Chandigarh,Underweight (packing issue),WH,7431,1,0.0001
9,Sri Ganganagar,Customer perception / Wrong claim,CX,485,1,0.0021
9,Jabalpur,Taste / water content,Sourcing,536,1,0.0019
9,Mysore,External Rotten/ Fungal,Pod,3562,1,0.0003
9,Ranchi,Customer perception / Wrong claim,CX,1184,1,0.0008
9,Karaikkudi,External Damage/Bruises,Pod,340,2,0.0059
9,Amravati,Customer perception / Wrong claim,CX,242,1,0.0041
9,Lucknow,Shrivelled / Dry,WH,3430,1,0.0003
9,Noida,Taste / water content,Sourcing,3711,3,0.0008
9,Mysore,Underweight (packing issue),WH,3562,2,0.0006
9,Thiruvananthapuram,Internal Rotten,Sourcing,7384,4,0.0005
9,Kanpur,Internal Rotten,Sourcing,848,1,0.0012
9,Jabalpur,Raw,Sourcing,536,1,0.0019
9,Bhubaneswar,Internal Rotten,Sourcing,4419,2,0.0005
9,Panipat,External Rotten/ Fungal,Pod,686,2,0.0029
9,Pondicherry,Customer perception / Wrong claim,CX,2064,4,0.0019
9,Aligarh,Internal Rotten,Sourcing,182,1,0.0055
9,Bangalore,Internal Rotten,Sourcing,105648,163,0.0015
9,Hyderabad,Customer perception / Wrong claim,CX,62077,181,0.0029
9,Mumbai,External Damage/Bruises,Pod,66888,353,0.0053
9,Tirupati,Customer perception / Wrong claim,CX,1937,8,0.0041
9,Chandigarh,Taste / water content,Sourcing,7431,6,0.0008
9,Mumbai,Customer perception / Wrong claim,CX,66888,173,0.0026
9,Central Goa,External Damage/Bruises,Pod,5440,22,0.004
9,Mumbai,Taste / water content,Sourcing,66888,37,0.0006
9,Pune,External Damage/Bruises,Pod,28752,174,0.0061
9,Guwahati,External Damage/Bruises,Pod,1089,15,0.0138
9,Vadodara,External Damage/Bruises,Pod,1456,12,0.0082
9,Mangaluru,External Damage/Bruises,Pod,3341,9,0.0027
9,Kurnool,External Damage/Bruises,Pod,839,10,0.0119
9,Nashik,External Damage/Bruises,Pod,1160,8,0.0069
9,Noida 1,Taste / water content,Sourcing,10877,17,0.0016
9,Hyderabad,Raw,Sourcing,62077,22,0.0004
