WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Kurnool,DP,824,1,0.0012
9,Delhi,CX,27539,76,0.0028
9,Tirupati,WH,1901,2,0.0011
9,Udaipur,Pod,765,7,0.0092
9,Mumbai,Sourcing,59923,52,0.0009
9,Khammam,CX,849,1,0.0012
9,Manipal,Sourcing,1352,1,0.0007
9,Meerut,Sourcing,388,1,0.0026
9,Jabalpur,Pod,522,1,0.0019
9,Amritsar,Sourcing,524,2,0.0038
9,Warangal,DP,1310,3,0.0023
9,Siliguri,CX,339,1,0.003
9,Coimbatore,Sourcing,5012,4,0.0008
9,Kochi,WH,14867,4,0.0003
9,Ludhiana,WH,1470,1,0.0007
9,Bikaner,CX,159,2,0.0126
9,Ambala,Pod,362,3,0.0083
9,Gurgaon,WH,14302,11,0.0008
9,Varanasi,CX,910,1,0.0011
9,Kochi,Pod,14867,62,0.0042
9,Kanpur,Pod,834,3,0.0036
9,Manipal,Pod,1352,8,0.0059
9,Warangal,CX,1310,4,0.0031
9,Delhi,WH,27539,11,0.0004
9,Kozhikode,Pod,2229,6,0.0027
9,Thiruvananthapuram,DP,7074,4,0.0006
9,Patiala,CX,624,3,0.0048
9,Kolhapur,Pod,319,2,0.0063
9,Pune,DP,27453,13,0.0005
9,Anantapur,DP,597,2,0.0034
9,Kolhapur,DP,319,1,0.0031
9,Faridabad,Pod,2610,22,0.0084
9,Kanpur,Sourcing,834,3,0.0036
9,Vapi,Pod,611,4,0.0065
9,Kochi,DP,14867,4,0.0003
9,Aligarh,Sourcing,178,1,0.0056
9,Nizamabad,CX,80,1,0.0125
9,Ludhiana,CX,1470,4,0.0027
9,Jamshedpur,Pod,775,2,0.0026
9,Kurukshetra,Pod,166,3,0.0181
9,Trichy,Sourcing,1377,1,0.0007
9,Vizag,DP,3011,5,0.0017
9,Kurnool,Pod,824,10,0.0121
9,Bikaner,Pod,159,6,0.0377
9,Amravati,CX,239,1,0.0042
9,Dibrugarh,CX,401,6,0.015
9,Bangalore,Pod,94485,619,0.0066
9,Rajahmundry,Pod,559,1,0.0018
9,Shivamogga,DP,582,1,0.0017
9,Chennai,Sourcing,44609,28,0.0006
9,Kota,CX,982,6,0.0061
9,Tirupati,DP,1901,3,0.0016
9,Shivamogga,Sourcing,582,2,0.0034
9,Silchar,DP,479,1,0.0021
9,Ranchi,CX,1135,1,0.0009
9,Pune,WH,27453,12,0.0004
9,Gorakhpur,CX,211,2,0.0095
9,Chandigarh,CX,7031,25,0.0036
9,Surat,Pod,1579,10,0.0063
9,Gwalior,CX,684,2,0.0029
9,Surat,Sourcing,1579,4,0.0025
9,Vizianagaram,Sourcing,124,1,0.0081
9,Vizag,Pod,3011,13,0.0043
9,Varanasi,Sourcing,910,3,0.0033
9,Karimnagar,Pod,476,3,0.0063
9,Mangaluru,DP,3249,2,0.0006
9,Allahabad,Pod,145,1,0.0069
9,Ujjain,CX,413,1,0.0024
9,Thiruvananthapuram,Sourcing,7074,4,0.0006
9,Guwahati,Pod,1053,16,0.0152
9,Ahmedabad,Sourcing,6909,12,0.0017
9,Aligarh,Pod,178,3,0.0169
9,Vellore,Pod,1112,2,0.0018
9,Hyderabad,Sourcing,56962,21,0.0004
9,Rajkot,Pod,545,5,0.0092
9,Trichy,WH,1377,1,0.0007
9,Mangaluru,Sourcing,3249,4,0.0012
9,Lonavla,Pod,117,2,0.0171
9,Karur,CX,470,1,0.0021
9,Karnal,Pod,174,1,0.0057
