DT,WEEK,MT,CITY,STORE_ID,SPOC,ORDERS_TOTAL,IGCC,inc_%
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Kolkata,1402805,Pod,236,1,0.0042
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bangalore,1390218,Sourcing,1166,1,0.0009
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Ranchi,1395730,Pod,502,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Ranchi,1395730,Pod,502,2,0.004
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Udaipur,1397089,Pod,302,1,0.0033
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Udaipur,1397089,Pod,302,1,0.0033
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Udaipur,1397089,Sourcing,302,1,0.0033
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Udaipur,1397089,Pod,302,1,0.0033
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Udaipur,1397089,Pod,302,1,0.0033
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Pod,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Pod,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Sourcing,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,CX,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,CX,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Pod,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Sourcing,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Pod,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Pod,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,CX,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,Pod,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Hyderabad,1381355,CX,632,1,0.0016
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,Pod,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,WH,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,WH,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,Pod,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,Sourcing,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,WH,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,CX,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,Pod,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,Pod,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Pune,1403046,Sourcing,511,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,Pod,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,Sourcing,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,Pod,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,Pod,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,Sourcing,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,Pod,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1386271,CX,416,1,0.0024
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1404766,CX,529,1,0.0019
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1404766,Pod,529,1,0.0019
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1404766,CX,529,1,0.0019
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1404766,Pod,529,1,0.0019
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1404766,WH,529,1,0.0019
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1404766,Sourcing,529,1,0.0019
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,Pod,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,Pod,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,Pod,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,Pod,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,CX,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,CX,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Chennai,1402246,Sourcing,431,1,0.0023
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Ludhiana,1404447,Sourcing,282,2,0.0071
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Ludhiana,1404447,WH,282,1,0.0035
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Kolhapur,1403724,CX,198,1,0.0051
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,Pod,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,Pod,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,Pod,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,WH,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,WH,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,Pod,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,Pod,500,2,0.004
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Delhi,1230886,Sourcing,500,1,0.002
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,Pod,686,1,0.0015
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,CX,686,1,0.0015
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,WH,686,1,0.0015
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,Pod,686,1,0.0015
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,CX,686,1,0.0015
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,CX,686,1,0.0015
Sun Jul 26 2026 00:00:00 GMT+0530 (India Standard Time),30,Jul'26,Bhubaneswar,1398746,Pod,686,1,0.0015
