WEEK,CITY,STORE_ID,SPOC,ORDERS_TOTAL,IGCC,inc_%
23,Patiala,1401269,Pod,1191,2,0.0017
23,Hyderabad,1400550,WH,1772,1,0.0006
23,Hyderabad,810364,WH,3823,1,0.0003
23,Mysore,1397623,WH,3134,2,0.0006
23,Kozhikode,1388451,WH,2225,1,0.0004
23,Warangal,1404663,WH,1795,1,0.0006
23,Chennai,810362,WH,2775,1,0.0004
23,Bangalore,1401714,WH,1846,1,0.0005
23,Rohtak,1403371,Sourcing,1274,7,0.0055
23,Hyderabad,1061926,Sourcing,4115,20,0.0049
23,Pune,1400927,CX,2975,10,0.0034
23,Delhi,1099458,Sourcing,2506,9,0.0036
23,Noida 1,1382167,Sourcing,3685,14,0.0038
23,Gurgaon,1398757,CX,2672,11,0.0041
23,Mysore,1404785,Pod,4495,49,0.0109
23,Hyderabad,1404866,Pod,2893,68,0.0235
23,Mumbai,1403454,Pod,4957,72,0.0145
23,Bangalore,1404676,CX,2791,12,0.0043
23,Chennai,1404843,Pod,921,16,0.0174
23,Amravati,1402771,Pod,1125,19,0.0169
23,Central Goa,1403560,Pod,2001,13,0.0065
23,Thiruvananthapuram,1394675,Pod,3306,21,0.0064
23,Bhubaneswar,1403022,Pod,2222,14,0.0063
23,Hyderabad,1385944,Sourcing,2460,12,0.0049
23,Bangalore,1392660,Pod,6792,63,0.0093
23,Ahmedabad,1400955,Pod,1040,10,0.0096
23,Thiruvananthapuram,1404953,Sourcing,3033,7,0.0023
23,Bangalore,1404930,CX,4735,12,0.0025
23,Surat,1402789,Pod,1452,18,0.0124
23,Mumbai,1346590,Pod,3495,56,0.016
23,Tirunelveli,1401286,CX,6161,13,0.0021
23,Bangalore,1403175,WH,2896,6,0.0021
23,Noida 1,1404825,Pod,1607,20,0.0124
23,Bathinda,1403512,Pod,1172,15,0.0128
23,Mumbai,1400231,Sourcing,4851,17,0.0035
23,Hyderabad,1237254,Sourcing,3616,13,0.0036
23,Central Goa,1403182,Sourcing,1337,3,0.0022
23,Ujjain,1401277,Sourcing,1075,4,0.0037
23,Bangalore,1389251,WH,3311,5,0.0015
23,Chandigarh,1403976,Sourcing,2694,17,0.0063
23,Central Goa,1392082,CX,2376,8,0.0034
23,Allahabad,1402244,Sourcing,516,5,0.0097
23,Bangalore,1388681,Sourcing,4836,8,0.0017
23,Vizianagaram,1402790,Pod,1115,4,0.0036
23,Surat,1397042,Sourcing,434,2,0.0046
23,Pune,1393574,Pod,5111,41,0.008
23,Kolkata,1397622,Pod,1937,18,0.0093
23,Guntur,1398748,CX,1869,10,0.0054
23,Chennai,1401653,Sourcing,1663,2,0.0012
23,Shivamogga,1401657,Pod,3078,10,0.0032
23,Pune,1403214,Pod,2767,34,0.0123
23,Central Goa,1404446,Sourcing,1140,2,0.0018
23,Kochi,1403362,Pod,3271,14,0.0043
23,Gurgaon,1402056,CX,1301,7,0.0054
23,Bareilly,1400963,Pod,1258,6,0.0048
23,Hyderabad,1404789,WH,2540,2,0.0008
23,Delhi,1404450,WH,1274,2,0.0016
23,Ujjain,1402468,CX,850,3,0.0035
23,Hyderabad,1382391,WH,6762,3,0.0004
23,Pune,1404643,Sourcing,3419,3,0.0009
23,Bangalore,1403353,WH,2874,3,0.001
23,Noida,1404166,Sourcing,507,4,0.0079
23,Chennai,1380670,Sourcing,1805,2,0.0011
23,Rajkot,1402086,Sourcing,640,2,0.0031
23,Guntur,1394684,WH,1584,1,0.0006
23,Chennai,1404837,WH,1583,1,0.0006
23,Jabalpur,1402450,WH,972,1,0.001
23,Aurangabad,1403726,CX,768,1,0.0013
23,Bangalore,1404898,WH,942,1,0.0011
23,Kozhikode,1404585,Sourcing,1877,1,0.0005
23,Bangalore,1380899,WH,2680,1,0.0004
23,Kolkata,1404586,WH,1779,1,0.0006
23,Delhi,1230886,Pod,2299,35,0.0152
23,Hyderabad,1386269,Sourcing,7579,25,0.0033
23,Thanjavur,1402069,Sourcing,3074,5,0.0016
23,Hyderabad,737088,CX,2609,9,0.0035
23,Mumbai,1239162,Pod,6447,73,0.0113
23,Hyderabad,1402058,Pod,2129,47,0.0221
23,Hyderabad,1399810,CX,2749,13,0.0047
23,Gurgaon,1398454,CX,2748,9,0.0033
23,Guwahati,1401288,CX,2581,13,0.005
23,Noida,1394453,Pod,808,9,0.0111
23,Bangalore,1395425,Sourcing,8357,19,0.0023
23,Mumbai,1062418,CX,2814,6,0.0021
23,Surat,1397039,Pod,1699,8,0.0047
23,Pune,1401109,Sourcing,3145,10,0.0032
23,Kolkata,1404788,CX,1821,6,0.0033
23,Hyderabad,1404881,CX,1689,9,0.0053
23,Jaipur,1402259,Sourcing,804,5,0.0062
23,Hyderabad,1404773,WH,5975,6,0.001
23,Chennai,1393568,CX,2618,11,0.0042
23,Bhilai,1403369,Pod,1165,11,0.0094
23,Bangalore,1403139,Sourcing,3845,11,0.0029
23,Delhi,1386536,Pod,4076,43,0.0106
23,Mumbai,1395728,Sourcing,2131,8,0.0038
23,Chandigarh,1381441,Sourcing,1855,6,0.0032
23,Mumbai,1237261,Sourcing,3109,7,0.0023
23,Gurgaon,1239163,CX,2593,6,0.0023
23,Mumbai,1238357,Pod,2599,17,0.0065
23,Chennai,1403357,Sourcing,1823,3,0.0016
23,Pune,1400558,Sourcing,2321,3,0.0013
23,Gorakhpur,1400925,Pod,560,6,0.0107
23,Muzaffarpur,1404797,CX,1269,5,0.0039
23,Noida 1,1388198,Pod,1307,13,0.0099
23,Bangalore,816648,CX,2400,10,0.0042
23,Thrissur,1395734,Pod,2573,7,0.0027
23,Bhopal,1399345,Sourcing,910,5,0.0055
23,Thiruvananthapuram,1402070,CX,3470,11,0.0032
23,Udaipur,1398451,Sourcing,1826,4,0.0022
23,Bangalore,816648,Sourcing,2400,5,0.0021
23,Pune,1404615,WH,2814,2,0.0007
23,Bangalore,1404452,CX,5094,2,0.0004
23,Noida 1,1385946,CX,3377,9,0.0027
23,Delhi,1400967,WH,1262,4,0.0032
23,Gurgaon,1404592,WH,1886,1,0.0005
23,Meerut,1401282,CX,905,1,0.0011
23,Hyderabad,1403835,WH,2678,2,0.0007
23,Latur,1402781,CX,973,2,0.0021
23,Hyderabad,1404660,WH,4155,2,0.0005
23,Surat,1403750,Sourcing,661,1,0.0015
23,Kottayam,1403209,WH,1319,1,0.0008
23,Karimnagar,1399807,Pod,1941,18,0.0093
23,Bangalore,1404679,Pod,6343,55,0.0087
23,Hyderabad,1404893,Pod,2964,40,0.0135
23,Bangalore,1401246,Pod,1499,20,0.0133
23,Mumbai,810366,Sourcing,3486,8,0.0023
23,Mumbai,1346590,CX,3495,17,0.0049
23,Bangalore,1386712,Pod,2694,21,0.0078
23,Surat,1387706,Sourcing,522,4,0.0077
23,Mumbai,1386846,Pod,3257,18,0.0055
23,Noida,1387080,Sourcing,2543,11,0.0043
23,Pune,1404754,Sourcing,2888,8,0.0028
23,Coimbatore,1397027,CX,3762,21,0.0056
23,Hyderabad,1404783,CX,2065,12,0.0058
23,Chennai,1404790,Pod,1849,25,0.0135
23,Delhi,1402052,WH,2732,4,0.0015
23,Hyderabad,1404622,CX,3238,20,0.0062
23,Bangalore,1229990,CX,5587,23,0.0041
23,Ambala,1401289,Pod,763,8,0.0105
23,Chennai,1393566,Pod,3360,31,0.0092
23,Hyderabad,1402448,CX,1323,13,0.0098
23,Delhi,1404620,Pod,1968,31,0.0158
23,Thrissur,1395735,CX,5599,10,0.0018
23,Bangalore,1395722,Pod,3166,35,0.0111
23,Bangalore,1400929,Sourcing,3647,15,0.0041
23,Hyderabad,1400221,CX,1984,13,0.0066
23,Hyderabad,1393828,Sourcing,4656,10,0.0021
23,Hyderabad,1386717,Pod,3012,25,0.0083
23,Chennai,1404886,Sourcing,2644,13,0.0049
23,Delhi,1404610,Sourcing,2606,6,0.0023
23,Delhi,1402053,Sourcing,2151,8,0.0037
23,Chennai,1404901,Sourcing,2161,7,0.0032
23,Chennai,1404804,Sourcing,986,4,0.0041
23,Bangalore,1403019,WH,4557,2,0.0004
23,Bangalore,1384788,CX,6902,11,0.0016
23,Bangalore,1400922,Sourcing,3881,16,0.0041
23,Mumbai,1400554,CX,1747,7,0.004
23,Vijayawada,1404856,CX,1459,8,0.0055
23,Kochi,1403420,Pod,3530,8,0.0023
23,Hyderabad,1386094,WH,6249,5,0.0008
23,Vijayawada,1403845,Sourcing,1262,2,0.0016
23,Kochi,1402613,Sourcing,2821,2,0.0007
23,Ranchi,1402619,CX,1688,2,0.0012
23,Kochi,1403185,CX,2904,4,0.0014
23,Nanded,1403564,WH,840,2,0.0024
23,Delhi,1403207,WH,1824,2,0.0011
23,Pune,1403214,CX,2767,11,0.004
23,Gurgaon,1402608,WH,2086,2,0.001
23,Ludhiana,1395727,Sourcing,1620,2,0.0012
23,Varanasi,1396292,Sourcing,822,2,0.0024
23,Delhi,1404841,WH,1094,2,0.0018
23,Faridabad,1391900,Sourcing,1430,2,0.0014
23,Bangalore,1402948,WH,3572,2,0.0006
23,Thrissur,1403048,Sourcing,2394,1,0.0004
23,Bangalore,1404906,CX,2960,4,0.0014
23,Jaipur,1402259,WH,804,1,0.0012
23,Lucknow,1401263,Sourcing,1419,1,0.0007
23,Sri Ganganagar,1401278,WH,1067,2,0.0019
23,Bangalore,1385835,WH,2688,1,0.0004
23,Chennai,1390221,CX,1699,1,0.0006
23,Kolkata,1391895,Sourcing,781,1,0.0013
23,Pune,1382708,WH,2831,1,0.0004
23,Noida,1387080,WH,2543,1,0.0004
23,Bangalore,1400215,Pod,8010,98,0.0122
23,Hyderabad,1385563,Pod,7853,100,0.0127
23,Indore,1403836,Pod,924,12,0.013
23,Ranchi,1401273,CX,1805,4,0.0022
23,Hyderabad,1387564,Pod,4066,57,0.014
23,Coimbatore,1388684,Pod,2408,16,0.0066
23,Jaipur,1395724,CX,1771,9,0.0051
23,Bangalore,1237709,Pod,2304,25,0.0109
23,Chennai,1399696,Pod,3766,37,0.0098
23,Rohtak,1403371,CX,1274,10,0.0078
23,Mumbai,1402062,Pod,1408,9,0.0064
23,Vapi,1401276,Pod,2144,15,0.007
23,Delhi,1388689,CX,1539,7,0.0045
23,Mumbai,1113109,CX,4766,9,0.0019
23,Delhi,1394450,Pod,4065,51,0.0125
23,Kurnool,1401080,Pod,2659,26,0.0098
23,Mumbai,1398452,Sourcing,6582,18,0.0027
23,Bhubaneswar,1401466,Pod,1620,8,0.0049
23,Hyderabad,1381278,Sourcing,3003,12,0.004
23,Hyderabad,762613,CX,2056,9,0.0044
23,Mysore,1404785,CX,4495,21,0.0047
23,Coimbatore,1402051,Pod,2104,15,0.0071
23,Mumbai,1400553,CX,2684,8,0.003
23,Kanchipuram,1402682,Sourcing,3262,4,0.0012
23,Hyderabad,1398441,Pod,2330,24,0.0103
23,Jabalpur,1401108,CX,1274,4,0.0031
23,Faridabad,1403725,Sourcing,2353,11,0.0047
23,Bangalore,1395721,CX,6711,20,0.003
23,Noida 1,1401267,CX,2491,11,0.0044
23,Vadodara,1400984,Pod,1532,7,0.0046
23,Mumbai,1400554,Pod,1747,13,0.0074
23,Jabalpur,1401108,Sourcing,1274,6,0.0047
23,Kolkata,1404707,CX,882,5,0.0057
23,Kolkata,1314370,Sourcing,3085,10,0.0032
23,Noida,1403518,Pod,1002,18,0.018
23,Vijayawada,1404636,Sourcing,2376,6,0.0025
23,Chennai,1388683,WH,5694,4,0.0007
23,Chennai,1400603,CX,2892,3,0.001
23,Mumbai,1387703,Sourcing,3601,10,0.0028
23,Bangalore,1404794,CX,2091,7,0.0033
23,Ongole,1404830,Sourcing,516,2,0.0039
23,Kanpur,1397090,CX,1234,4,0.0032
23,Noida 1,1403212,CX,683,2,0.0029
23,Mumbai,1400552,CX,1522,2,0.0013
23,Pune,1381445,Sourcing,2092,4,0.0019
23,Gorakhpur,1402252,WH,951,2,0.0021
23,Bangalore,1403515,CX,929,2,0.0022
23,Meerut,1402620,Sourcing,1013,4,0.0039
23,Gurgaon,1239163,WH,2593,2,0.0008
23,Salem,1398447,CX,3231,1,0.0003
23,Kochi,1403457,WH,3340,1,0.0003
23,Pune,1404644,WH,1584,1,0.0006
23,Hubli,1401655,WH,1311,1,0.0008
23,Bangalore,1390217,WH,3696,1,0.0003
23,Hubli,1401655,CX,1311,1,0.0008
23,Kurnool,1401079,WH,2574,1,0.0004
23,Thiruvananthapuram,1387569,WH,4386,1,0.0002
23,Bangalore,1239157,CX,4425,12,0.0027
23,Hyderabad,1404855,CX,2238,24,0.0107
23,Mumbai,1400553,Sourcing,2684,5,0.0019
23,Kolkata,1391896,Pod,1937,18,0.0093
23,Chennai,1402049,Sourcing,2993,17,0.0057
23,Gurgaon,1404613,Pod,3230,52,0.0161
23,Patna,1402068,Pod,2624,52,0.0198
23,Bangalore,1404591,Pod,2661,32,0.012
23,Noida 1,1404627,Sourcing,2818,17,0.006
23,Chennai,1404943,Pod,2839,37,0.013
23,Varanasi,1394452,Pod,1903,18,0.0095
23,Kolkata,1402452,Sourcing,4845,22,0.0045
23,Jamshedpur,1401659,CX,2112,12,0.0057
23,Bangalore,1402670,CX,1620,8,0.0049
23,Bangalore,1388682,Sourcing,4466,14,0.0031
23,Jodhpur,1402626,CX,1723,13,0.0075
23,Hyderabad,1401257,Sourcing,1630,5,0.0031
23,Pune,1383135,CX,3889,20,0.0051
23,Rajkot,1395731,Pod,1519,13,0.0086
23,Hyderabad,1404758,Sourcing,1910,11,0.0058
23,Pondicherry,1402786,CX,2348,7,0.003
23,Tirunelveli,1401286,Sourcing,6161,6,0.001
23,Delhi,1230886,WH,2299,5,0.0022
23,Ongole,1404868,Pod,841,9,0.0107
23,Chandigarh,1385562,CX,1976,8,0.004
23,Vizag,1382440,CX,2191,8,0.0037
23,Mumbai,1135721,Sourcing,1759,7,0.004
23,Bangalore,1403354,Pod,1646,20,0.0122
23,Jabalpur,1402450,Pod,972,13,0.0134
23,Hyderabad,1397628,Sourcing,1576,4,0.0025
23,Delhi,1400924,CX,1420,4,0.0028
23,Noida 1,1402624,CX,1471,6,0.0041
23,Delhi,1402249,Pod,936,8,0.0085
23,Kochi,1382427,CX,4791,11,0.0023
23,Hubli,1400566,CX,1286,2,0.0016
23,Pune,1394673,Sourcing,2555,9,0.0035
23,Delhi,1062419,Sourcing,2141,9,0.0042
23,Pune,1402464,Sourcing,1587,4,0.0025
23,Bangalore,1381157,WH,4534,9,0.002
23,Ahmedabad,1388195,CX,1814,6,0.0033
23,Karur,1403558,Sourcing,1591,3,0.0019
23,Mumbai,1295147,Sourcing,3742,9,0.0024
23,Bangalore,1400929,CX,3647,5,0.0014
23,Bangalore,1404817,WH,4627,2,0.0004
23,Ranchi,1402619,WH,1688,4,0.0024
23,Mumbai,1404796,WH,1205,4,0.0033
23,Warangal,1395433,WH,3016,3,0.001
23,Aligarh,1402047,WH,504,2,0.004
23,Kakinada,1403360,CX,1036,2,0.0019
23,Hyderabad,1386816,WH,2976,3,0.001
23,Meerut,1401283,WH,1299,4,0.0031
23,Ambala,1402271,CX,1065,3,0.0028
23,Nagpur,1399707,Pod,1087,8,0.0074
23,Coimbatore,1404960,Sourcing,1070,2,0.0019
23,Varanasi,1402074,CX,1162,5,0.0043
23,Mumbai,1400977,WH,2096,3,0.0014
23,Delhi,1267917,WH,2129,2,0.0009
23,Nagpur,1393571,Sourcing,685,2,0.0029
23,Chennai,1395723,WH,2451,1,0.0004
23,Bangalore,1398438,WH,6748,1,0.0001
23,Mumbai,1381500,WH,1247,2,0.0016
23,Bangalore,1392080,WH,4767,2,0.0004
23,Bareilly,1400963,WH,1258,1,0.0008
23,Varanasi,1401660,Sourcing,707,1,0.0014
23,Raipur,1400986,Pod,1364,24,0.0176
23,Pune,1404753,Sourcing,1345,7,0.0052
23,Mumbai,1381967,Pod,5319,44,0.0083
23,Pune,1386163,CX,3042,10,0.0033
23,Delhi,1230886,CX,2299,7,0.003
23,Mumbai,1391897,Pod,7918,90,0.0114
23,Mumbai,1404909,Sourcing,2731,12,0.0044
23,Guwahati,1404802,Pod,881,14,0.0159
23,Ahmedabad,1386812,Sourcing,2204,8,0.0036
23,Madurai,1402453,Pod,1814,12,0.0066
23,Bangalore,1403020,CX,2235,11,0.0049
23,Kurnool,1401079,Sourcing,2574,8,0.0031
23,Bangalore,1400215,CX,8010,29,0.0036
23,Hyderabad,1388312,Sourcing,2009,6,0.003
23,Kochi,1381277,Pod,3986,12,0.003
23,Bangalore,1400546,Sourcing,3817,8,0.0021
23,Panipat,1401291,Pod,1529,23,0.015
23,Chennai,1404901,CX,2161,6,0.0028
23,Bangalore,1403688,CX,1184,7,0.0059
23,Mumbai,1135721,WH,1759,3,0.0017
23,Mumbai,1113109,Pod,4766,33,0.0069
23,Hyderabad,1404811,Pod,3224,42,0.013
23,Jaipur,1381754,CX,2312,9,0.0039
23,Hyderabad,1385944,Pod,2460,20,0.0081
23,Bangalore,1402141,Sourcing,2091,6,0.0029
23,Patna,1403365,WH,3991,5,0.0013
23,Pune,1402465,Sourcing,2497,12,0.0048
23,Kolkata,1400971,CX,1405,3,0.0021
23,Surat,1403843,Sourcing,1547,6,0.0039
23,Delhi,1386271,Sourcing,2161,12,0.0056
23,Delhi,1404620,CX,1968,10,0.0051
23,Delhi,1384143,Sourcing,2221,9,0.0041
23,Chennai,1403357,CX,1823,4,0.0022
23,Mumbai,1404958,Pod,1245,16,0.0129
23,Pune,1403455,Pod,1333,12,0.009
23,Chennai,1397026,Sourcing,4212,13,0.0031
23,Nagpur,1392084,CX,1782,7,0.0039
23,Bangalore,1404580,Pod,1458,13,0.0089
23,Mumbai,1392531,CX,4577,15,0.0033
23,Kannur,1404569,Pod,1955,5,0.0026
23,Delhi,1230886,Sourcing,2299,3,0.0013
23,Mumbai,810366,CX,3486,8,0.0023
23,Mumbai,1404646,CX,4658,20,0.0043
23,Mumbai,1381643,WH,2830,2,0.0007
23,Delhi,1099458,WH,2506,3,0.0012
23,Bangalore,1387560,WH,3742,5,0.0013
23,Lucknow,1402783,CX,1053,2,0.0019
23,Bhopal,1399345,CX,910,4,0.0044
23,Meerut,1401283,Sourcing,1299,2,0.0015
23,Gurgaon,1394451,WH,2933,3,0.001
23,Bangalore,1403050,Sourcing,1553,2,0.0013
23,Hyderabad,1404574,Sourcing,2120,7,0.0033
23,Noida,1403518,WH,1002,3,0.003
23,Noida 1,1401267,WH,2491,1,0.0004
23,Thanjavur,1402069,CX,3074,2,0.0007
23,Pune,1389254,WH,4188,1,0.0002
23,Mumbai,1404771,Sourcing,668,1,0.0015
23,Surat,1394674,Sourcing,2011,1,0.0005
23,Delhi,1398755,Pod,4315,30,0.007
23,Mumbai,1404681,Pod,2741,34,0.0124
23,Bangalore,911033,Pod,3911,36,0.0092
23,Mumbai,1382439,Pod,4436,73,0.0165
23,Hyderabad,1383572,Pod,2402,24,0.01
23,Karimnagar,1403837,Pod,1220,8,0.0066
23,Bangalore,1190778,WH,4780,6,0.0013
23,Chennai,1395723,Pod,2451,18,0.0073
23,Kota,1401280,Pod,899,12,0.0133
23,Delhi,1399700,Pod,4560,73,0.016
23,Mumbai,1190779,Pod,2230,37,0.0166
23,Kolkata,1403466,Sourcing,1157,7,0.0061
23,Bangalore,1394670,Pod,2013,36,0.0179
23,Ludhiana,1397034,Pod,1898,15,0.0079
23,Bangalore,1403019,Pod,4557,22,0.0048
23,Mumbai,1398760,WH,4417,3,0.0007
23,Kochi,1402804,Pod,4407,22,0.005
