week num ,34,,,,,,,,,,,,,,,,35,,,,,,,,,,,
Spoc Level,,,,,,,,,,,,,,,,,,,,,SKU_Code,SKUName,Shelf Life,,,,,
,,0.005882583938739446,0.0025211074023169053,0.15305960264900662,0.19999999999999998,,,,,,,,,,,,,,,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,21,,SKU_Code,SKUName,Symboll,Shelf Life
,,,,,,,,,,,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,A,21
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,SPOC,Basic Reason for IGCC,,,FEFO band,Stores,Band QnP % (pooled),Band DOH (pooled),,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,A,21
Bangalore,0.003086298550661402,0.008403691341056351,0.002375082720655075,0.0026063369475896473,0.016471409559962475,,0.5101986754966887,0.1873730684326711,,Pod,External Rotten/ Fungal,,,<50%,1 stores ▸,0.02026,1.596,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,A,21
Chennai,0.0038419299404190733,0.008858695057300579,0.002192782425633298,0.0012806433134730244,0.016174050736825974,,0.5477103541619671,0.2375366568914956,,Pod,External Damage/Bruises,,,50-55%,14 stores ▸,0.01728,1.486,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,A,21
Delhi,0.003056228816423488,0.008830714858196777,0.0035342172095134176,0.0010428837667416642,0.016464044650875347,,0.5363636363636364,0.18563049853372432,,Pod/DEL OPS,Damage in transit,to change,,55-60%,29 stores ▸,0.0162,1.525,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,A,21
Hyderabad,0.004158845094414329,0.0075770739391384356,0.002230394321182479,0.0016606895137284616,0.015627002868463708,,0.48487057965730945,0.2661319722931097,,,,,,60-65%,69 stores ▸,0.01766,1.461,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,A,21
Kolkata,0.0027415186853962364,0.008398489265836204,0.0022114365226610123,0.0013334879406307978,0.014684932414524251,,0.571912013536379,0.18668922729836435,,,,,,65-70%,131 stores ▸,0.01711,1.476,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,A,21
Mumbai,0.0028025899409744822,0.007364162757815831,0.002059160176852122,0.0006424355320151716,0.012868348407657607,,0.5722694571615435,0.21778940483976456,,,,,,70-75%,172 stores ▸,0.01667,1.391,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,A,21
Pune,0.003484929864225134,0.007744288587166965,0.002167151725602368,0.0007619380706728788,0.014158308247667345,,0.5469783855315395,0.2461402734891928,,,,,,75-80%,162 stores ▸,0.01684,1.404,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,5826,SKM BEST BROWN EGGS 6.00 PIECES,A,21
Noida 1,0.002989362528146595,0.010572767036778218,0.004361104640629448,0.0017599710122421512,0.01968320521779641,,0.537146614069691,0.15187376725838264,,,,,,80-85%,141 stores ▸,0.01596,1.433,,,,5824,SKM BEST FRESH EGGS 6.00 PIECES,21,,5825,SKM BEST PLUS EGGS 12.00 PIECES,A,21
Gurgaon,0.003028931839799056,0.00850501897699674,0.0034537210612342896,0.00125589856772156,0.016243570445751646,,0.5235929505400796,0.18646958499147243,,,,,,85-90%,113 stores ▸,0.01494,1.45,,,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,21,,5824,SKM BEST FRESH EGGS 6.00 PIECES,A,21
,,,,,,,,,,,,,,90%+,174 stores ▸,0.01395,1.472,,,,20672,UPF CAGE FREE EGGS - VEG FEED & INFERTILE 6.00 PIECES,21,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,A,21
C.IGCC Reason Level Contribution,,,,,,,,,,,,,,,,,,,,,11474,ABHI EGGS GOLD+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,20672,UPF CAGE FREE EGGS - VEG FEED & INFERTILE 6.00 PIECES,A,21
Basic reason,SPOC,Bangalore,Chennai,Mumbai,Hyderabad,Delhi,Pune,Kolkata,Noida 1,Gurgaon,,,,,,,,,,,35079,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS 24.00 PIECES,21,,11474,ABHI EGGS GOLD+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
Customer perception / Wrong claim,CX,0.003086298550661402,0.0038419299404190733,0.0028025899409744822,0.004158845094414329,0.003056228816423488,0.003484929864225134,0.0027415186853962364,0.002989362528146595,0.003028931839799056,,,,,,,,,,,11471,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,35079,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS 24.00 PIECES,A,21
External Damage/Bruises,Pod,0.005935525157987361,0.008307763033555774,0.0069377426666965905,0.007283675963299616,0.008058208364314062,0.007556926766509699,0.005441624701828783,0.0076351683619328625,0.008070995207269437,,,,,,,,,,,774,DELFREZ SUGUNA NOURISH - VITAMINS & MINERALS EGG 6.00 PIECES,21,,11472,ABHI EGGS VITAMIN D3 WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
External Rotten/ Fungal,Pod,0.0021918246540276777,0.0003794498706586739,0.00023565320825010661,0.000048424908633591507,0.0004924728898502303,0.00002498157608763537,0.0027663662867744502,0.0025493697750860575,0.00016622186925726527,,,,,,,,,,,2659,DELFREZ NOURISH -VITAMINS & MINERALS EGG 12.00 PIECES,21,,774,DELFREZ SUGUNA NOURISH - VITAMINS & MINERALS EGG 6.00 PIECES,A,21
Internal Rotten,Sourcing,0.0010922762542632952,0.0010653784830031998,0.000948223623673048,0.000996983413044531,0.0011539315752373044,0.0011366617119874093,0.0009773389875430691,0.001630561378989052,0.001477527726731247,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,2659,DELFREZ NOURISH -VITAMINS & MINERALS EGG 12.00 PIECES,A,21
Taste / water content,Sourcing,0.00044796416286697064,0.0002845874029940054,0.00040678232376506495,0.00026491273546611825,0.0012842920460800124,0.00027479733696398907,0.00040584415584415587,0.001423505965784093,0.000849578442870467,,,,,,,,,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,16886,KKP WHITE EGGS 12.00 PIECES,A,21
Incorrect size (sourcing issue),Sourcing,0.0002588883798387038,0.0002481018385075945,0.000050497116053594273,0.0002990950239133593,0.00014001680201624196,0.00019985260870108296,0.00014908560826928173,0.00034940600978336826,0.00007387638633656235,,,,,,,,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,13422,KKP WHITE REGULAR EGGS 6PC 6.00 PIECES,A,21
Overripe,Pod,0.00026179723803913867,0.00016783359663749038,0.00018796148753282314,0.00024212454316795753,0.0002800336040324839,0.0001623802445696299,0.0001904982772329711,0.00038822889975929806,0.00025856735217796823,,,,,,,,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,5827,SKM BEST BROWN EGGS 12.00 PIECES,A,21
Raw,Sourcing,0.0005759539236861051,0.0005947147011284986,0.0006536571133604148,0.0006694031487584708,0.0009559767861798588,0.000555840067949887,0.0006791677710045057,0.0009576312860729352,0.0010527385052960135,,,,,,,,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,20670,UPF HEALTHY WHITE EGGS- VEG FED & INFERTILE 6.00 PIECES,A,21
Shrivelled / Dry,WH,0.001976569147195497,0.0009121391121602738,0.00046008483515497006,0.0014071708744114238,0.0007049121756679767,0.000474649945665072,0.0009359263185793798,0.0011129228459766545,0.0008218747979942561,,,,,,,,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,27252,Eggoz Farm Fresh High Protein White Eggs Box,A,21
Underweight (packing issue),WH,0.0006297678003941503,0.0003685042013127506,0.00018235069686020153,0.0002535186393170379,0.00033797159107368745,0.00028728812500780675,0.00039756162205141797,0.0006470481662654968,0.0004340237697273038,,,,,,,,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,697269,Yolkers Classic Eggs,A,21
Total,,0.016456865268960303,0.016170402180377335,0.012865543012321297,0.015624154344426438,0.016464044650875344,0.014158308247667346,0.014684932414524255,0.019683205217796415,0.016234335897459578,,,,,,,,,,,16886,KKP WHITE EGGS 12.00 PIECES,21,,7422,Yojana Poultry White Omega Eggs,A,21
,,,,,,,,,,,,,,,,,,,,,13422,KKP WHITE REGULAR EGGS 6PC 6.00 PIECES,21,,6882,Farm Made Foods Free Range Brown Eggs,A,21
,,,,,,,,,,,,,,,,,,,,,5827,SKM BEST BROWN EGGS 12.00 PIECES,21,,20671,UPF FOODS Healthy Brown Eggs - Veg Fed & Infertile,A,21
,,,,,,,,,,,,,,,,,,,,,5824,SKM BEST FRESH EGGS 6.00 PIECES,21,,7421,Yojana Poultry Brown Shell Eggs,A,21
,,,,,,,,,,,,,,,,,,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,20672,UPF FOODS Cage Free Eggs - Veg Feed & Infertile,A,21
#REF!,,,,,,,,,,,,,,,,,,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,72823,Yojana Poultry'S Fresh Eggs,A,21
,,,,,,,,22,23,,WH_NAME,VENDORNAME,CC Name,City,city manager,,,,,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,21,,4005,Hen Fruit White A Grade Eggs,A,21
,,,,,,,,TOTAL,TOTAL,,HYD FNV1 SG,MOKSH CC CHIKKBALLAPUR,MOKSH CC CHIKKBALLAPUR,Bangalore,Rafuddin,,,Warehouse_Name,City,City Manager,20670,UPF HEALTHY WHITE EGGS- VEG FED & INFERTILE 6.00 PIECES,21,,1723,Hen Fruit Protein Rich Hen White Eggs,A,21
,,,,,,,,0.006685229476345507,0.006354298788828372,,HYD FNV1 SG,CLOUDKART CC ERLAPALLY,CLOUDKART CC ERLAPALLY,Hyderabad,P Sivaramakrishna,,,MUM FnV2,Mumbai,Rakesh B H,27252,Eggoz Farm Fresh High Protein White Eggs Box,21,,766520,Andaah Natural VitaD White Eggs,A,21
,,,,,,,,0.007578374529008806,0.006923076923076923,,BLR FNV1 SG,CLOUDKART CC NALLACHERUVU,CLOUDKART CC NALLACHERUVU,Bangalore,Rafuddin,,,POL FNV1 SG,Pollachi,Venkatesan K,697269,Yolkers Classic Eggs,21,,11471,Abhi Eggs Nutri+ with Immunity Boosters Eggs,A,21
,,,,,,,,0.012193737737348186,0.009289404347791477,,BLR FNV1 SG,JUPITER KART CC OOTY,JUPITER KART CC OOTY,Chennai,Venkatesan K,,,KOH FNV1 SG,Kochi,Venkatesan K,7422,Yojana Poultry White Omega Eggs,21,,790161,Andaah Brown Eggs Vita,A,21
,,,,,,,,0.01501434923450221,0.012167421758935258,,MUM FnV2,CLOUDSTORE CC SANGAMNER,CLOUDSTORE CC SANGAMNER,Mumbai,Rakesh B H,,,BLR FNV1 SG,Bangalore,Rafuddin,6882,Farm Made Foods Free Range Brown Eggs,21,,11474,Abhi Eggs GOLD+ with Immunity Boosters Eggs,A,21
,,,,,,,,0.0064704110949237795,0.0068221045113676946,,PUNE FnV,CLOUDSTORE CC GIRNARE,CLOUDSTORE CC GIRNARE,Mumbai,Rakesh B H,,,VJA FNV1 SG,Vijayawada,P Sivaramakrishna,20671,UPF FOODS Healthy Brown Eggs - Veg Fed & Infertile,21,,35079,Abhi Eggs Nutri+ With Immunity Boosters,A,21
,,,,,,,,0.006320651513309833,0.007226930945612031,,Chennai Fnv2,JUPITER KART CC OLAKUR,JUPITER KART CC OLAKUR,Chennai,Venkatesan K,,,Bangalore FNV2,Bangalore,Rafuddin,7421,Yojana Poultry Brown Shell Eggs,21,,766292,Andaah Natural White Eggs,A,21
