Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/9/2026-Karnal-11054,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Karnal,11054,Bel Patta (Bilva Patra),1,1,External Damage/Bruises (1.00)
8/8/2026-Bangalore-1049,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,1049,Colocasia (Arbi),2,699,"Shrivelled / Dry (1.00), External Damage/Bruises (1.00)"
8/8/2026-Delhi-3795,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Delhi,3795,Ginger,1,30,Customer perception / Wrong claim (1.00)
8/8/2026-Bangalore-1096,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,1096,Muskmelon,2,348,Raw (2.00)
8/9/2026-Bangalore-10471,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,10471,Tulsi Leaves,1,290,Shrivelled / Dry (1.00)
8/8/2026-Bangalore-24381,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,24381,White Radish,1,796,Customer perception / Wrong claim (1.00)
8/8/2026-Bangalore-2116,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,2116,Onion,29,16513,"External Damage/Bruises (11.00), Customer perception / Wrong claim (8.00), External Rotten/ Fungal (7.00), Underweight (packing issue) (2.00), Internal Rotten (1.00)"
8/8/2026-Mumbai-11557,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Mumbai,11557,Pluckk Pineapple Slice,3,142,External Damage/Bruises (3.00)
8/8/2026-Bangalore-3381,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,3381,Pineapple Chunks,1,109,Internal Rotten (1.00)
8/8/2026-Gurgaon-8688,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Gurgaon,8688,Daily Juice Sweet Lime,2,112,Raw (2.00)
8/8/2026-Pune-4068,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Pune,4068,Pumpkin Cut,1,126,Internal Rotten (1.00)
8/9/2026-Patna-1036,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Patna,1036,Carrot,1,162,External Rotten/ Fungal (1.00)
8/8/2026-Hyderabad-3508,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Hyderabad,3508,Kiran Watermelon,6,137,"Underweight (packing issue) (2.00), Internal Rotten (2.00), Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
8/8/2026-Chennai-34585,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Chennai,34585,Ooty Chow Chow,1,167,External Damage/Bruises (1.00)
8/9/2026-Delhi-20602,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Delhi,20602,Indian Pear Red,2,27,External Damage/Bruises (2.00)
8/8/2026-Bangalore-1289,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,1289,Raw Banana,1,604,Customer perception / Wrong claim (1.00)
8/9/2026-Kolkata-4599,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Kolkata,4599,Lady's Finger,5,600,"Customer perception / Wrong claim (3.00), Overripe (2.00)"
8/9/2026-Noida 1-8707,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Noida 1,8707,Coconut,2,24,"External Damage/Bruises (1.00), Internal Rotten (1.00)"
8/8/2026-Mumbai-3943,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Mumbai,3943,Sambar Onion,1,116,External Damage/Bruises (1.00)
8/9/2026-Chennai-1041,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Chennai,1041,Green Chilli,1,141,Customer perception / Wrong claim (1.00)
8/9/2026-Mumbai-7811,Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),32,Mumbai,7811,Green Pumpkin,1,193,External Damage/Bruises (1.00)
8/8/2026-Bangalore-451491,Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),32,Bangalore,451491,Dhatura Fruit,1,71,External Rotten/ Fungal (1.00)
