Unique ID,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
33-Karaikkudi-4601,33,Karaikkudi,4601,Ooty Carrot (Carrot),1,,External Damage/Bruises (1.00)
33-Berhampur-1108,33,Berhampur,1108,Potato,3,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
33-Bangalore-465837,33,Bangalore,465837,nectr Cabbage,20,,"External Damage/Bruises (8.00), Customer perception / Wrong claim (5.00), External Rotten/ Fungal (3.00), Incorrect size (sourcing issue) (2.00), Internal Rotten (1.00), Shrivelled / Dry (1.00)"
33-Bangalore-513786,33,Bangalore,513786,The Flora Three Red Rose Bouquet,6,,"Shrivelled / Dry (4.00), Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
33-Bangalore-676348,33,Bangalore,676348,Mini Red Flesh Dragon Fruit,10,,"External Damage/Bruises (4.00), Customer perception / Wrong claim (3.00), Shrivelled / Dry (1.00), External Rotten/ Fungal (1.00), Internal Rotten (1.00)"
33-Anantapur-19027,33,Anantapur,19027,Green Cucumber,1,,External Rotten/ Fungal (1.00)
33-Anantapur-1284,33,Anantapur,1284,Indian Tomato,4,,"External Damage/Bruises (3.00), Raw (1.00)"
33-Noida 1-135817,33,Noida 1,135817,Farmerr Two Orchids Bouquet,5,,"Shrivelled / Dry (4.00), External Damage/Bruises (1.00)"
33-Bangalore-746008,33,Bangalore,746008,nectr Coconut,26,,"Internal Rotten (11.00), External Damage/Bruises (5.00), Customer perception / Wrong claim (4.00), Incorrect size (sourcing issue) (2.00), Underweight (packing issue) (2.00), External Rotten/ Fungal (1.00), Taste / water content (1.00)"
33-Bangalore-893097,33,Bangalore,893097,Phulwaa Fresh Rajnigandha,1,,Shrivelled / Dry (1.00)
33-Bhilai-918705,33,Bhilai,918705,Pear Nashpati,2,,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
33-Bangalore-883490,33,Bangalore,883490,nectr Haricot Beans,1,,Shrivelled / Dry (1.00)
33-Rohtak-1027,33,Rohtak,1027,Green Capsicum,1,,External Damage/Bruises (1.00)
33-Karur-9497,33,Karur,9497,Yellow Shevanti Flowers,1,,External Rotten/ Fungal (1.00)
33-Nellore-7479,33,Nellore,7479,Figs,1,,Customer perception / Wrong claim (1.00)
33-Nellore-3795,33,Nellore,3795,Ginger,1,,Customer perception / Wrong claim (1.00)
33-Rohtak-5733,33,Rohtak,5733,Premium White Guava,1,,External Damage/Bruises (1.00)
33-Bangalore-963138,33,Bangalore,963138,nectr Robusta Banana,19,,"External Damage/Bruises (9.00), Overripe (5.00), External Rotten/ Fungal (2.00), Customer perception / Wrong claim (1.00), Internal Rotten (1.00), Raw (1.00)"
33-Mumbai-736728,33,Mumbai,736728,Bobby Muskmelon (White Flesh),2,,"External Damage/Bruises (1.00), Raw (1.00)"
33-Rohtak-14812,33,Rohtak,14812,Pear Bartlett,1,,External Damage/Bruises (1.00)
33-Chennai-703928,33,Chennai,703928,The Flora Two Purple Eustoma Bouquet,1,,Shrivelled / Dry (1.00)
33-Noida 1-598792,33,Noida 1,598792,Superplum Premium Chausa Mangoes,4,,"Internal Rotten (3.00), External Damage/Bruises (1.00)"
33-Ongole-1066,33,Ongole,1066,Drumstick,1,,Customer perception / Wrong claim (1.00)
33-Mysore-512179,33,Mysore,512179,Red & Yellow Bell Peppers,1,,External Damage/Bruises (1.00)
33-Rohtak-1049,33,Rohtak,1049,Colocasia (Arbi),1,,External Damage/Bruises (1.00)
33-Bilaspur-1296,33,Bilaspur,1296,Tender Coconut,1,,External Damage/Bruises (1.00)
33-Anantapur-6483,33,Anantapur,6483,Mandarin Orange,2,,"External Damage/Bruises (1.00), External Rotten/ Fungal (1.00)"
33-Bangalore-859313,33,Bangalore,859313,Superplum Premium Plum,9,,"External Damage/Bruises (5.00), Customer perception / Wrong claim (2.00), External Rotten/ Fungal (1.00), Taste / water content (1.00)"
33-Delhi-187462,33,Delhi,187462,Sam Agri Coconut Chunks,1,,Internal Rotten (1.00)
33-Karaikkudi-1082,33,Karaikkudi,1082,Guava,1,,Internal Rotten (1.00)
33-Bangalore-206423,33,Bangalore,206423,Ridge Gourd,10,,"Customer perception / Wrong claim (4.00), Internal Rotten (3.00), Underweight (packing issue) (2.00), External Damage/Bruises (1.00)"
33-Bikaner-63716,33,Bikaner,63716,Capsicum Tricolour,1,,External Damage/Bruises (1.00)
33-Bilaspur-8687,33,Bilaspur,8687,Pointed Gourd,1,,External Damage/Bruises (1.00)
33-Manipal-998871,33,Manipal,998871,Premium Thai Guava,3,,"External Damage/Bruises (1.00), Raw (1.00), External Rotten/ Fungal (1.00)"
33-Eluru-1108,33,Eluru,1108,Potato,2,,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
33-Saharanpur-2610,33,Saharanpur,2610,French Beans,1,,External Damage/Bruises (1.00)
33-Anantapur-8536,33,Anantapur,8536,Bullet Chilli,1,,External Damage/Bruises (1.00)
33-Bangalore-526665,33,Bangalore,526665,Phulwaa Fresh Daily Mix,1,,Shrivelled / Dry (1.00)
33-Delhi-582620,33,Delhi,582620,The Flora Single Pink Rose,5,,"Shrivelled / Dry (3.00), External Damage/Bruises (2.00)"
33-Kozhikode-729693,33,Kozhikode,729693,Crossandra (Kanakambaram),1,,Shrivelled / Dry (1.00)
33-Hyderabad-582620,33,Hyderabad,582620,The Flora Single Pink Rose,2,,"Shrivelled / Dry (1.00), Customer perception / Wrong claim (1.00)"
33-Hyderabad-362317,33,Hyderabad,362317,Freshcon Boiled Salad Mix (Ready -to- Eat),1,,External Damage/Bruises (1.00)
33-Bilaspur-1095,33,Bilaspur,1095,Button Mushroom,4,,"External Rotten/ Fungal (2.00), External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
33-Karur-1108,33,Karur,1108,Potato,1,,External Damage/Bruises (1.00)
33-Nellore-1051,33,Nellore,1051,Coriander Leaves,2,,External Damage/Bruises (2.00)
33-Mangaluru-962806,33,Mangaluru,962806,Mangalore Coriander Leaves,1,,Customer perception / Wrong claim (1.00)
