Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
7/8/2026-Faridabad-854514,7/8/2026,28,Faridabad,854514,English Cucumber - Protected Cultivation,1,50,External Damage/Bruises (1.00)
7/8/2026-Chennai-1050,7/8/2026,28,Chennai,1050,Colocasia (Man Kochu),2,10,External Damage/Bruises (2.00)
7/8/2026-Hyderabad-3797,7/8/2026,28,Hyderabad,3797,Red & Yellow Bell Peppers,1,324,External Damage/Bruises (1.00)
7/8/2026-Gurgaon-282362,7/8/2026,28,Gurgaon,282362,Jumbo Indian Cherry,2,77,"Underweight (packing issue) (1.00), External Damage/Bruises (1.00)"
7/8/2026-Indore-3902,7/8/2026,28,Indore,3902,Round Gourd,1,41,External Damage/Bruises (1.00)
7/8/2026-Thoothukudi-20422,7/8/2026,28,Thoothukudi,20422,Daily Apple,2,22,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Gurgaon-743753,7/8/2026,28,Gurgaon,743753,"NOICE Fresh Hass Avocado Spread (Seasoned With Olive Oil & Lemon, No Preservatives)",1,70,External Damage/Bruises (1.00)
7/8/2026-Chennai-8540,7/8/2026,28,Chennai,8540,White Parwal,2,5,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Noida-282362,7/8/2026,28,Noida,282362,Jumbo Indian Cherry,3,19,"External Damage/Bruises (2.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Muzaffarpur-3943,7/8/2026,28,Muzaffarpur,3943,Sambar Onion,1,11,External Damage/Bruises (1.00)
7/8/2026-Moradabad-2116,7/8/2026,28,Moradabad,2116,Onion,1,140,External Damage/Bruises (1.00)
7/8/2026-Alappuzha-1296,7/8/2026,28,Alappuzha,1296,Tender Coconut,1,8,Taste / water content (1.00)
7/8/2026-Chennai-20422,7/8/2026,28,Chennai,20422,Daily Apple,8,1553,"External Damage/Bruises (4.00), Customer perception / Wrong claim (3.00), Underweight (packing issue) (1.00)"
7/8/2026-Nashik-6890,7/8/2026,28,Nashik,6890,Indian Cherry,1,26,Customer perception / Wrong claim (1.00)
7/8/2026-Varanasi-59626,7/8/2026,28,Varanasi,59626,Garlic Premium,1,23,External Damage/Bruises (1.00)
7/8/2026-Ahmedabad-3902,7/8/2026,28,Ahmedabad,3902,Round Gourd,4,67,"Internal Rotten (2.00), External Damage/Bruises (2.00)"
7/8/2026-Delhi-1101,7/8/2026,28,Delhi,1101,Papaya,7,213,"External Damage/Bruises (5.00), External Rotten/ Fungal (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Sri Ganganagar-18544,7/8/2026,28,Sri Ganganagar,18544,Mango Totapuri Ripe,1,1,Raw (1.00)
7/8/2026-Bhubaneswar-11565,7/8/2026,28,Bhubaneswar,11565,Baby Banana,2,81,External Damage/Bruises (2.00)
7/8/2026-Mumbai-7479,7/8/2026,28,Mumbai,7479,Figs,4,61,"External Damage/Bruises (3.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Chennai-6757,7/8/2026,28,Chennai,6757,Himayath / Imam Pasand Mango,2,102,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Pune-19903,7/8/2026,28,Pune,19903,Fresh Red Dates,2,48,External Damage/Bruises (2.00)
7/8/2026-Chennai-5733,7/8/2026,28,Chennai,5733,Premium White Guava,5,153,"External Damage/Bruises (2.00), Customer perception / Wrong claim (2.00), Raw (1.00)"
7/8/2026-Ludhiana-1108,7/8/2026,28,Ludhiana,1108,Potato,1,76,Customer perception / Wrong claim (1.00)
7/8/2026-Thiruvananthapuram-11821,7/8/2026,28,Thiruvananthapuram,11821,Ooty Beetroot,1,29,External Damage/Bruises (1.00)
7/8/2026-Thoothukudi-515988,7/8/2026,28,Thoothukudi,515988,Ooty Strawberry,1,7,External Damage/Bruises (1.00)
7/8/2026-Kolkata-20763,7/8/2026,28,Kolkata,20763,Small Bitter Gourd,5,365,"Customer perception / Wrong claim (3.00), External Damage/Bruises (1.00), Overripe (1.00)"
7/8/2026-Coimbatore-7471,7/8/2026,28,Coimbatore,7471,Ooty Potato,1,16,External Damage/Bruises (1.00)
7/8/2026-Hyderabad-8689,7/8/2026,28,Hyderabad,8689,Hybrid Tomato,9,1248,"External Damage/Bruises (5.00), Customer perception / Wrong claim (4.00)"
