POD ID,POD Name,City,Tier,Total GMV,FnV Orders,Units Sold
1396284,Koramanagala,Bangalore,1,7111548,158430,186688
1400215,Gunjuru,Bangalore,1,6071063,130513,156800
1400960,Whitefield Main Road,Bangalore,1,6058985,133499,156245
1395425,Kalamandir,Bangalore,1,5433415,121878,142623
1395720,Somasundarapalya,Bangalore,1,5243579,111799,131131
1385836,Kasavanahalli,Bangalore,1,5222968,114469,135704
1390218,HRBR Layout,Bangalore,1,5044803,111283,132792
1398452,Andheri West,Mumbai,1,5000655,99895,120526
1395721,Kodihalli,Bangalore,1,4974544,106621,125366
1385563,Nanakaramguda,Hyderabad,1,4965778,107802,131510
1397048,Bannerghatta Road,Bangalore,1,4946412,107821,127913
1384788,Balagere,Bangalore,1,4848719,108240,128030
1391897,Postal Colony Chembur,Mumbai,1,4841201,99085,119137
1386269,TCS Synergy Park,Hyderabad,1,4738144,105564,128282
1404617,Provident Capella,Bangalore,1,4694255,107678,127168
1404679,Horamavu Village,Bangalore,1,4619265,104193,123250
1404599,E-City Megapod,Bangalore,1,4587267,106707,126636
1404773,Tellapur new,Hyderabad,1,4546555,97429,123596
1400609,Munnekolala,Bangalore,1,4502008,96867,113980
1392421,Carmelaram,Bangalore,1,4487481,97261,115218
1239162,Bhagwati Stores Pvt Ltd Inborbit Mall Malad,Mumbai,1,4455503,94809,112564
1392660,HSR/Kudlu,Bangalore,1,4427724,97424,113917
1398438,Amrita Nagar,Bangalore,1,4397762,97740,116464
1403454,D N Nagar,Mumbai,1,4214147,86297,102275
1382350,Esperar Retail Private Limited Kartik Nagar,Bangalore,1,4185449,90476,106463
1389001,Samarth Colony MP,Pune,1,4162621,92054,107430
1403463,Hado Siddapura,Bangalore,1,4084663,89802,105888
1404792,Hongasandra,Bangalore,1,4076839,95081,112249
1382391,Kwickbox Retail Pvt Ltd Masjid Banda,Hyderabad,1,4071698,92409,111589
854379,Aurora Ventures Private Ltd Kalyan Nagar3,Bangalore,1,4014940,86062,102073
1404452,Kothanur,Bangalore,1,4008853,85473,101611
1404991,Lalbagh,Mangalore,2,3963271,83799,97857
1397630,Velachery,Chennai,1,3928932,86630,102126
1400610,Yemalur Kempapura,Bangalore,1,3899863,85445,101206
1381967,Bhagwati Stores Pvt Ltd Mahim,Mumbai,1,3788225,77161,91785
1386094,Kothaguda,Hyderabad,1,3763919,89612,108382
1397626,Tulaja Bhawani Nagar,Pune,1,3760626,83388,97677
1399354,Siddeshwara Theatre,Bangalore,1,3759074,85575,102370
1404614,Jeevan Bhima Nagar,Bangalore,1,3755928,86198,101388
1229990,Greenmania Modern Retails Pvt Ltd Sahakar Nagar,Bangalore,1,3754844,83110,99625
1387561,Gandhipura,Bangalore,1,3720824,84208,99082
1403042,Thacker Nagar Megapod,Pune,1,3689737,89786,104005
1399695,Dommasandra,Bangalore,1,3682141,84399,102593
1380712,Kwickbox Retail Pvt Ltd Botanical Garden,Hyderabad,1,3647126,75870,94402
1404646,Waghbil Naka,Mumbai,1,3598836,76461,89992
1113109,B&H ENTERTAINMENT (I) PVT LTD ANTOP HILL,Mumbai,1,3592986,74627,88806
810367,B&H ENTERTAINMENT (I) PVT LTD Vikhroli,Mumbai,1,3551779,77565,89766
1402064,Goregaon West - MP,Mumbai,1,3543292,74720,87209
1401716,Phoenix Mall,Bangalore,1,3520043,73756,89134
1403138,Hebbal Megapod,Bangalore,1,3489723,74758,90577
1386092,Infopark,Kochi,2,3449130,66641,75715
1401286,Police Colony,Tirunelveli,2,3438562,86856,100486
1381849,Setron Retail Pvt Ltd Perumanoor,Kochi,2,3427102,66229,76512
1397796,NS Palya,Bangalore,1,3413241,77635,91513
1392531,Lower parel,Mumbai,1,3404467,61298,75692
1395735,Punkunnam,Thrissur,2,3399087,73902,86872
1388683,Kotivakkam,Chennai,1,3384310,74780,88700
762551,Aariga Strategy Consultants Pvt Ltd Spencer,Gurgaon,1,3374377,68907,80825
1402605,Haralur Road,Bangalore,1,3345833,69764,83226
1395434,Hoodi,Bangalore,1,3332786,69139,81551
969383,RAJIDI RETAIL PVT LTD BANDRA WEST,Mumbai,1,3320181,61445,74067
1400930,Adonai Church,Bangalore,1,3316762,73946,86932
1404595,Pattom,Trivandrum,2,3277603,58894,68477
1404579,Nagvara Megapod,Bangalore,1,3260584,70444,83607
1404930,Vignan Nagar,Bangalore,1,3245431,76583,89306
1386090,HSR Sec 2,Bangalore,1,3240879,75489,87388
1403019,Prestige Shantiniketan,Bangalore,1,3234986,64443,77473
1387903,Salapuria Sancity,Bangalore,1,3227810,70871,84812
1386267,Sholinganallur,Chennai,1,3173696,68424,81114
1369819,Genuino Marketing Pvt Ltd Thiruvanmiyur,Chennai,1,3150630,66992,80344
1190778,Greenmania Modern Retail Pvt Ltd Indiranagar5,Bangalore,1,3136969,67164,79951
1388998,Adarsh Palm Retreat,Bangalore,1,3135376,62549,75235
1403842,Relief Road,Mumbai,1,3092812,65538,77436
1238358,Bhagwati Stores Pvt Ltd JVLR,Mumbai,1,3072674,64065,75195
1388682,Guttahalli,Bangalore,1,3072429,66261,81524
1395732,Alagapuram,Salem,2,3067972,72426,87333
1393563,Kaggadasapura,Bangalore,1,3060895,68804,80865
1387565,Waverock,Hyderabad,1,3050715,63055,77290
1390227,Eco city,Noida,1,3041984,66737,78331
1393574,Kunal Icon Pimple Saudagar,Pune,1,3039259,71440,82631
1401471,Chandanagar,Hyderabad,1,3028905,72856,89721
1404785,Vani Vilas Mohalla - MP,Mysore,2,3007841,68827,83035
1401472,JNTU,Hyderabad,1,3000647,67768,83944
1181690,Greenmania Chramjpet3,Bangalore,1,2982762,66505,81437
1403030,Kalina,Mumbai,1,2981816,58550,69533
1402609,Samaspur Village,Gurgaon,1,2981096,62379,74643
1388681,Hulimavu,Bangalore,1,2972409,67297,79821
1382439,Bhagwati Stores Pvt Ltd Thakur Village,Mumbai,1,2972229,62752,73539
1397024,Bagaluru Road,Bangalore,1,2971347,69105,83123
1404760,Kharghar - MP,Mumbai,1,2971275,63854,75269
1404817,SG Palya - MP,Bangalore,1,2969053,71888,85495
1404660,Kokapet X Road,Hyderabad,1,2965504,60718,76296
1381966,Bhagwati Stores Pvt Ltd Indira Nagar,Mumbai,1,2954844,64340,75538
1382427,Setron Retail Pvt Ltd Peeta metro station,Kochi,2,2935144,59995,68970
1390228,Shivrajnagar,Pune,1,2916438,68724,79623
1399697,Jafferkhanpet,Chennai,1,2895295,63864,75720
1401656,Tuticorin,Thoothukudi,2,2879336,72398,84715
1135720,B&H ENTERTAINMENT (I) PVT LTD POWAI2,Mumbai,1,2875691,55931,66404
1397057,Madhapur,Hyderabad,1,2844693,62351,75740
1298955,BHAGWATI STORES Pvt Ltd Ghatkopar West,Mumbai,1,2830932,60605,72117
1393828,West Marredpally,Hyderabad,1,2823585,61526,77506
1404645,Park Road,Mumbai,1,2816408,58529,68955
1398444,Attavar,Mangalore,2,2814933,59848,70923
1403034,Lodha Amara,Mumbai,1,2814495,62650,73550
1381157,Growgreenherbs Modern Retails Pvt Ltd Mullur,Bangalore,1,2809467,66453,79833
1349401,Genuino Marketing Pvt Ltd Raghava Nagar,Chennai,1,2806545,63730,75356
1295147,Foclo Technologies Pvt Ltd Vileparle East,Mumbai,1,2793370,59258,70834
1373485,Growgreenherbs Modern Retails Pvt Ltd KR Puram,Bangalore,1,2788791,66808,79553
1396282,Tardeo Police Station,Mumbai,1,2786365,49544,62585
1387634,Beeramguda,Hyderabad,1,2775208,68860,85531
1400604,Peters Rd flyover,Chennai,1,2760778,61296,74048
1401247,Kadubeesanahalli,Bangalore,1,2759366,61271,72592
1061926,GetMax Globe Pvt. Ltd. Kondapur,Hyderabad,1,2756585,58055,72159
1390224,Model Colony Mumbai,Mumbai,1,2754312,55660,65195
1190780,B&H ENTERTAINMENT (I) PVT LTD VILEPARLE,Mumbai,1,2730814,53593,64577
1386093,Venkata ramana colony,Hyderabad,1,2726029,62297,76566
1402804,Thevara,Kochi,2,2716092,53921,62640
1389691,Kharadi 2,Pune,1,2699169,63731,73287
1403029,Poppys Hotel,Madurai,2,2691355,59519,68561
1394676,Thampanoor,Trivandrum,2,2681329,49326,56713
1387569,Poojappura,Trivandrum,2,2681159,51840,59284
1403051,Eksar,Mumbai,1,2673047,57147,66372
1384139,Tin Factory,Bangalore,1,2672570,62106,72799
1398756,Ambattur Estate Road,Chennai,1,2668666,57803,68698
1387633,Cooke Town,Bangalore,1,2662737,56114,66885
1401251,Teynampet,Chennai,1,2660418,54017,66209
1392080,BDA Complex HSR,Bangalore,1,2651983,57879,68856
1398448,VK Puram,Tirupati,2,2627888,66312,82966
1388112,BEML,Bangalore,1,2626664,60276,70580
1397026,Parasakthi nagar,Chennai,1,2615055,61461,72524
1404757,Nerul - MP,Mumbai,1,2614310,54840,64523
1405006,Munjoba nagar,Pune,1,2613374,64067,72987
1389633,Sapphire Mall,Gurgaon,1,2612629,53327,63739
1386265,Thuraipakam,Chennai,1,2601649,56664,67011
1403025,Cholambedu,Chennai,1,2589299,64211,75466
1398760,Matunga East,Mumbai,1,2589046,53112,63417
1404607,Madeenaguda  - MP,Hyderabad,1,2586162,58059,71576
1382870,Mylasandra,Bangalore,1,2583622,58087,69273
1385645,Ghansoli,Mumbai,1,2579794,55847,64383
1396287,Puthagaram,Chennai,1,2570845,59180,70138
1396293,Alkapuri Township,Hyderabad,1,2564217,57392,71467
1386448,Tirumurthy Nagar,Chennai,1,2548033,51742,63753
810366,Rajidi Retail Pvt Ltd Andheri East,Mumbai,1,2537907,53976,63377
1404673,Hennur,Bangalore,1,2536006,57779,68001
